Pos,Sense1,Sense2,Merge
v,leave#v#07,leave#v#11,not-merged
v,leave#v#07,leave#v#03,not-merged
v,leave#v#07,leave#v#01,not-merged
v,leave#v#11,leave#v#03,not-merged
v,leave#v#11,leave#v#01,not-merged
v,leave#v#03,leave#v#01,not-merged
v,see_through#v#01,see_through#v#02,not-merged
v,call#v#03,call#v#19,not-merged
v,call#v#03,call#v#13,not-merged
v,call#v#03,call#v#04,not-merged
v,call#v#03,call#v#02,not-merged
v,call#v#03,call#v#07,not-merged
v,call#v#03,call#v#25,not-merged
v,call#v#03,call#v#09,not-merged
v,call#v#03,call#v#16,not-merged
v,call#v#03,call#v#15,not-merged
v,call#v#19,call#v#13,not-merged
v,call#v#19,call#v#04,not-merged
v,call#v#19,call#v#02,not-merged
v,call#v#19,call#v#07,not-merged
v,call#v#19,call#v#25,not-merged
v,call#v#19,call#v#09,not-merged
v,call#v#19,call#v#16,not-merged
v,call#v#19,call#v#15,not-merged
v,call#v#13,call#v#04,not-merged
v,call#v#13,call#v#02,not-merged
v,call#v#13,call#v#07,not-merged
v,call#v#13,call#v#25,not-merged
v,call#v#13,call#v#09,not-merged
v,call#v#13,call#v#16,not-merged
v,call#v#13,call#v#15,not-merged
v,call#v#04,call#v#02,merged
v,call#v#04,call#v#07,not-merged
v,call#v#04,call#v#25,not-merged
v,call#v#04,call#v#09,not-merged
v,call#v#04,call#v#16,not-merged
v,call#v#04,call#v#15,not-merged
v,call#v#02,call#v#07,not-merged
v,call#v#02,call#v#25,not-merged
v,call#v#02,call#v#09,not-merged
v,call#v#02,call#v#16,not-merged
v,call#v#02,call#v#15,not-merged
v,call#v#07,call#v#25,not-merged
v,call#v#07,call#v#09,not-merged
v,call#v#07,call#v#16,not-merged
v,call#v#07,call#v#15,not-merged
v,call#v#25,call#v#09,not-merged
v,call#v#25,call#v#16,not-merged
v,call#v#25,call#v#15,not-merged
v,call#v#09,call#v#16,not-merged
v,call#v#09,call#v#15,not-merged
v,call#v#16,call#v#15,not-merged
n,law#n#04,law#n#03,not-merged
v,turn_out#v#03,turn_out#v#02,not-merged
v,turn_out#v#03,turn_out#v#04,not-merged
v,turn_out#v#02,turn_out#v#04,not-merged
v,treat#v#08,treat#v#05,not-merged
v,treat#v#08,treat#v#03,not-merged
v,treat#v#08,treat#v#01,not-merged
v,treat#v#05,treat#v#03,not-merged
v,treat#v#05,treat#v#01,not-merged
v,treat#v#03,treat#v#01,not-merged
s,fine#s#01,fine#s#07,merged
s,fine#s#01,fine#s#09,not-merged
s,fine#s#01,fine#s#03,not-merged
s,fine#s#01,fine#s#06,not-merged
s,fine#s#01,fine#s#08,not-merged
s,fine#s#07,fine#s#09,not-merged
s,fine#s#07,fine#s#03,not-merged
s,fine#s#07,fine#s#06,not-merged
s,fine#s#07,fine#s#08,not-merged
s,fine#s#09,fine#s#03,not-merged
s,fine#s#09,fine#s#06,not-merged
s,fine#s#09,fine#s#08,not-merged
s,fine#s#03,fine#s#06,merged
s,fine#s#03,fine#s#08,not-merged
s,fine#s#06,fine#s#08,not-merged
n,bar#n#03,bar#n#02,not-merged
n,bar#n#03,bar#n#08,not-merged
n,bar#n#03,bar#n#07,not-merged
n,bar#n#03,bar#n#05,not-merged
n,bar#n#02,bar#n#08,not-merged
n,bar#n#02,bar#n#07,not-merged
n,bar#n#02,bar#n#05,not-merged
n,bar#n#08,bar#n#07,not-merged
n,bar#n#08,bar#n#05,not-merged
n,bar#n#07,bar#n#05,not-merged
v,work#v#16,work#v#03,not-merged
v,work#v#16,work#v#09,not-merged
v,work#v#16,work#v#05,not-merged
v,work#v#16,work#v#01,not-merged
v,work#v#16,work#v#02,not-merged
v,work#v#16,work#v#08,not-merged
v,work#v#16,work#v#21,not-merged
v,work#v#16,work#v#10,not-merged
v,work#v#03,work#v#09,not-merged
v,work#v#03,work#v#05,not-merged
v,work#v#03,work#v#01,not-merged
v,work#v#03,work#v#02,not-merged
v,work#v#03,work#v#08,not-merged
v,work#v#03,work#v#21,not-merged
v,work#v#03,work#v#10,not-merged
v,work#v#09,work#v#05,not-merged
v,work#v#09,work#v#01,not-merged
v,work#v#09,work#v#02,not-merged
v,work#v#09,work#v#08,not-merged
v,work#v#09,work#v#21,not-merged
v,work#v#09,work#v#10,not-merged
v,work#v#05,work#v#01,not-merged
v,work#v#05,work#v#02,not-merged
v,work#v#05,work#v#08,not-merged
v,work#v#05,work#v#21,not-merged
v,work#v#05,work#v#10,not-merged
v,work#v#01,work#v#02,merged
v,work#v#01,work#v#08,not-merged
v,work#v#01,work#v#21,not-merged
v,work#v#01,work#v#10,not-merged
v,work#v#02,work#v#08,not-merged
v,work#v#02,work#v#21,not-merged
v,work#v#02,work#v#10,not-merged
v,work#v#08,work#v#21,not-merged
v,work#v#08,work#v#10,not-merged
v,work#v#21,work#v#10,not-merged
n,facility#n#05,facility#n#04,merged
n,facility#n#05,facility#n#01,not-merged
n,facility#n#04,facility#n#01,not-merged
v,work_out#v#05,work_out#v#02,not-merged
n,circuit#n#01,circuit#n#03,not-merged
n,circuit#n#01,circuit#n#04,not-merged
n,circuit#n#03,circuit#n#04,not-merged
v,hold#v#19,hold#v#08,not-merged
v,face#v#05,face#v#04,not-merged
v,face#v#05,face#v#09,not-merged
v,face#v#04,face#v#09,not-merged
n,post#n#04,post#n#06,not-merged
n,post#n#04,post#n#01,not-merged
n,post#n#04,post#n#08,not-merged
n,post#n#06,post#n#01,not-merged
n,post#n#06,post#n#08,not-merged
n,post#n#01,post#n#08,not-merged
v,dress#v#04,dress#v#15,not-merged
v,dress#v#04,dress#v#13,not-merged
v,dress#v#04,dress#v#02,merged
v,dress#v#04,dress#v#10,not-merged
v,dress#v#04,dress#v#09,not-merged
v,dress#v#04,dress#v#01,not-merged
v,dress#v#15,dress#v#13,not-merged
v,dress#v#15,dress#v#02,not-merged
v,dress#v#15,dress#v#10,not-merged
v,dress#v#15,dress#v#09,not-merged
v,dress#v#15,dress#v#01,not-merged
v,dress#v#13,dress#v#02,not-merged
v,dress#v#13,dress#v#10,not-merged
v,dress#v#13,dress#v#09,not-merged
v,dress#v#13,dress#v#01,not-merged
v,dress#v#02,dress#v#10,not-merged
v,dress#v#02,dress#v#09,not-merged
v,dress#v#02,dress#v#01,not-merged
v,dress#v#10,dress#v#09,not-merged
v,dress#v#10,dress#v#01,not-merged
v,dress#v#09,dress#v#01,not-merged
n,material#n#01,material#n#02,not-merged
n,material#n#01,material#n#03,merged
n,material#n#01,material#n#05,not-merged
n,material#n#02,material#n#03,not-merged
n,material#n#02,material#n#05,not-merged
n,material#n#03,material#n#05,not-merged
a,free#a#01,free#a#06,not-merged
a,free#a#01,free#a#02,not-merged
a,free#a#06,free#a#02,not-merged
n,green_bean#n#01,green_bean#n#02,merged
v,turn#v#21,turn#v#13,not-merged
v,turn#v#21,turn#v#20,not-merged
v,turn#v#21,turn#v#06,not-merged
v,turn#v#21,turn#v#09,not-merged
v,turn#v#21,turn#v#05,not-merged
v,turn#v#21,turn#v#19,not-merged
v,turn#v#21,turn#v#01,not-merged
v,turn#v#21,turn#v#04,not-merged
v,turn#v#21,turn#v#07,not-merged
v,turn#v#21,turn#v#24,not-merged
v,turn#v#13,turn#v#20,not-merged
v,turn#v#13,turn#v#06,not-merged
v,turn#v#13,turn#v#09,not-merged
v,turn#v#13,turn#v#05,not-merged
v,turn#v#13,turn#v#19,not-merged
v,turn#v#13,turn#v#01,not-merged
v,turn#v#13,turn#v#04,not-merged
v,turn#v#13,turn#v#07,not-merged
v,turn#v#13,turn#v#24,not-merged
v,turn#v#20,turn#v#06,not-merged
v,turn#v#20,turn#v#09,not-merged
v,turn#v#20,turn#v#05,not-merged
v,turn#v#20,turn#v#19,not-merged
v,turn#v#20,turn#v#01,not-merged
v,turn#v#20,turn#v#04,not-merged
v,turn#v#20,turn#v#07,not-merged
v,turn#v#20,turn#v#24,not-merged
v,turn#v#06,turn#v#09,not-merged
v,turn#v#06,turn#v#05,not-merged
v,turn#v#06,turn#v#19,not-merged
v,turn#v#06,turn#v#01,not-merged
v,turn#v#06,turn#v#04,not-merged
v,turn#v#06,turn#v#07,not-merged
v,turn#v#06,turn#v#24,not-merged
v,turn#v#09,turn#v#05,not-merged
v,turn#v#09,turn#v#19,not-merged
v,turn#v#09,turn#v#01,not-merged
v,turn#v#09,turn#v#04,not-merged
v,turn#v#09,turn#v#07,not-merged
v,turn#v#09,turn#v#24,not-merged
v,turn#v#05,turn#v#19,not-merged
v,turn#v#05,turn#v#01,not-merged
v,turn#v#05,turn#v#04,not-merged
v,turn#v#05,turn#v#07,not-merged
v,turn#v#05,turn#v#24,not-merged
v,turn#v#19,turn#v#01,not-merged
v,turn#v#19,turn#v#04,not-merged
v,turn#v#19,turn#v#07,not-merged
v,turn#v#19,turn#v#24,not-merged
v,turn#v#01,turn#v#04,not-merged
v,turn#v#01,turn#v#07,not-merged
v,turn#v#01,turn#v#24,not-merged
v,turn#v#04,turn#v#07,not-merged
v,turn#v#04,turn#v#24,not-merged
v,turn#v#07,turn#v#24,not-merged
n,workday#n#02,workday#n#01,not-merged
v,draw_up#v#02,draw_up#v#03,not-merged
v,draw_up#v#02,draw_up#v#05,not-merged
v,draw_up#v#03,draw_up#v#05,not-merged
v,discover#v#04,discover#v#02,not-merged
