sense1,ants1, deri1, vgrp1, pert1, sense2,ants2, deri2, vgrp2, pert2, merge
affect#v#5,,affective#a#1; affect#n#1,,,affect#v#3,,,,,not-merged
affect#v#4,,,,,affect#v#1,,,,,not-merged
affect#v#4,,,,,affect#v#2,,,,,not-merged
affect#v#4,,,,,affect#v#3,,,,,not-merged
affect#v#1,,,,,affect#v#2,,,,,merged
affect#v#1,,,,,affect#v#3,,,,,merged
affect#v#2,,,,,affect#v#3,,,,,merged
concern#v#1,,,,,concern#v#2,,concern#n#2; concern#n#4,,,not-merged
stress#v#1,,stress#n#4,,,stress#v#3,,stress#n#5; stress#n#2; stressor#n#1,,,not-merged
stress#v#1,,stress#n#4,,,stress#v#2,,stress#n#1,,,not-merged
stress#v#3,,stress#n#5; stress#n#2; stressor#n#1,,,stress#v#2,,stress#n#1,,,not-merged
link#v#1,,link#n#3; linkage#n#1,,,link#v#2,,linkup#n#1; link#n#1; link#n#2; linkage#n#4,,,not-merged
link#v#1,,link#n#3; linkage#n#1,,,link#v#3,,link#n#3; linkage#n#3,,,not-merged
link#v#1,,link#n#3; linkage#n#1,,,link#v#4,,link#n#3; link#n#1,,,not-merged
link#v#2,,linkup#n#1; link#n#1; link#n#2; linkage#n#4,,,link#v#3,,link#n#3; linkage#n#3,,,merged
link#v#2,,linkup#n#1; link#n#1; link#n#2; linkage#n#4,,,link#v#4,,link#n#3; link#n#1,,,merged
link#v#3,,link#n#3; linkage#n#3,,,link#v#4,,link#n#3; link#n#1,,,merged
type#n#2,,typic#a#1; type#v#2; typify#v#1,,,type#n#3,,typify#v#1,,,not-merged
type#n#2,,typic#a#1; type#v#2; typify#v#1,,,type#n#4,,type#v#1,,,not-merged
type#n#2,,typic#a#1; type#v#2; typify#v#1,,,type#n#5,,type#v#1,,,not-merged
type#n#2,,typic#a#1; type#v#2; typify#v#1,,,type#n#1,antitype#n#2,type#v#2; typify#v#1,,,not-merged
type#n#2,,typic#a#1; type#v#2; typify#v#1,,,type#n#6,,,,,not-merged
type#n#3,,typify#v#1,,,type#n#4,,type#v#1,,,not-merged
type#n#3,,typify#v#1,,,type#n#5,,type#v#1,,,not-merged
type#n#3,,typify#v#1,,,type#n#1,antitype#n#2,type#v#2; typify#v#1,,,not-merged
type#n#3,,typify#v#1,,,type#n#6,,,,,not-merged
type#n#4,,type#v#1,,,type#n#5,,type#v#1,,,not-merged
type#n#4,,type#v#1,,,type#n#1,antitype#n#2,type#v#2; typify#v#1,,,not-merged
type#n#4,,type#v#1,,,type#n#6,,,,,not-merged
type#n#5,,type#v#1,,,type#n#1,antitype#n#2,type#v#2; typify#v#1,,,not-merged
type#n#5,,type#v#1,,,type#n#6,,,,,not-merged
type#n#1,antitype#n#2,type#v#2; typify#v#1,,,type#n#6,,,,,merged
compile#v#3,,compilation#n#2; compiler#n#2,,,compile#v#1,,compilation#n#1; compilation#n#2,,,not-merged
compile#v#3,,compilation#n#2; compiler#n#2,,,compile#v#2,,compilation#n#1; compilation#n#2; compiler#n#1; compiling#n#1,,,not-merged
compile#v#1,,compilation#n#1; compilation#n#2,,,compile#v#2,,compilation#n#1; compilation#n#2; compiler#n#1; compiling#n#1,,,merged
chamber#n#2,,,,,chamber#n#1,,chamber#v#1,,,not-merged
chamber#n#2,,,,,chamber#n#5,,,,,not-merged
chamber#n#2,,,,,chamber#n#3,,chamber#v#1,,,not-merged
chamber#n#2,,,,,chamber#n#4,,,,,not-merged
chamber#n#1,,chamber#v#1,,,chamber#n#5,,,,,merged
chamber#n#1,,chamber#v#1,,,chamber#n#3,,chamber#v#1,,,not-merged
chamber#n#1,,chamber#v#1,,,chamber#n#4,,,,,not-merged
chamber#n#5,,,,,chamber#n#3,,chamber#v#1,,,not-merged
chamber#n#5,,,,,chamber#n#4,,,,,not-merged
chamber#n#3,,chamber#v#1,,,chamber#n#4,,,,,merged
engage#v#5,,engagement#n#3,,,engage#v#1,,engagement#n#7,,,not-merged
engage#v#5,,engagement#n#3,,,engage#v#2,,,,,not-merged
engage#v#5,,engagement#n#3,,,engage#v#7,,engagement#n#1,,,not-merged
engage#v#5,,engagement#n#3,,,engage#v#3,,engagement#n#4,,,not-merged
engage#v#5,,engagement#n#3,,,engage#v#4,,,,,not-merged
engage#v#5,,engagement#n#3,,,engage#v#8,,,,,not-merged
engage#v#5,,engagement#n#3,,,engage#v#9,,,,,not-merged
engage#v#5,,engagement#n#3,,,engage#v#6,disengage#v#3,engagement#n#6,,,not-merged
engage#v#5,,engagement#n#3,,,engage#v#10,disengage#v#1,engagement#n#6,,,not-merged
engage#v#1,,engagement#n#7,,,engage#v#2,,,,,merged
engage#v#1,,engagement#n#7,,,engage#v#7,,engagement#n#1,,,merged
engage#v#1,,engagement#n#7,,,engage#v#3,,engagement#n#4,,,not-merged
engage#v#1,,engagement#n#7,,,engage#v#4,,,,,not-merged
engage#v#1,,engagement#n#7,,,engage#v#8,,,,,not-merged
engage#v#1,,engagement#n#7,,,engage#v#9,,,,,not-merged
engage#v#1,,engagement#n#7,,,engage#v#6,disengage#v#3,engagement#n#6,,,not-merged
engage#v#1,,engagement#n#7,,,engage#v#10,disengage#v#1,engagement#n#6,,,not-merged
engage#v#2,,,,,engage#v#7,,engagement#n#1,,,merged
engage#v#2,,,,,engage#v#3,,engagement#n#4,,,not-merged
engage#v#2,,,,,engage#v#4,,,,,not-merged
engage#v#2,,,,,engage#v#8,,,,,not-merged
engage#v#2,,,,,engage#v#9,,,,,not-merged
engage#v#2,,,,,engage#v#6,disengage#v#3,engagement#n#6,,,not-merged
engage#v#2,,,,,engage#v#10,disengage#v#1,engagement#n#6,,,not-merged
engage#v#7,,engagement#n#1,,,engage#v#3,,engagement#n#4,,,not-merged
engage#v#7,,engagement#n#1,,,engage#v#4,,,,,not-merged
engage#v#7,,engagement#n#1,,,engage#v#8,,,,,not-merged
engage#v#7,,engagement#n#1,,,engage#v#9,,,,,not-merged
engage#v#7,,engagement#n#1,,,engage#v#6,disengage#v#3,engagement#n#6,,,not-merged
engage#v#7,,engagement#n#1,,,engage#v#10,disengage#v#1,engagement#n#6,,,not-merged
engage#v#3,,engagement#n#4,,,engage#v#4,,,,,merged
engage#v#3,,engagement#n#4,,,engage#v#8,,,,,merged
engage#v#3,,engagement#n#4,,,engage#v#9,,,,,merged
engage#v#3,,engagement#n#4,,,engage#v#6,disengage#v#3,engagement#n#6,,,not-merged
engage#v#3,,engagement#n#4,,,engage#v#10,disengage#v#1,engagement#n#6,,,not-merged
engage#v#4,,,,,engage#v#8,,,,,merged
engage#v#4,,,,,engage#v#9,,,,,merged
engage#v#4,,,,,engage#v#6,disengage#v#3,engagement#n#6,,,not-merged
engage#v#4,,,,,engage#v#10,disengage#v#1,engagement#n#6,,,not-merged
engage#v#8,,,,,engage#v#9,,,,,merged
engage#v#8,,,,,engage#v#6,disengage#v#3,engagement#n#6,,,not-merged
engage#v#8,,,,,engage#v#10,disengage#v#1,engagement#n#6,,,not-merged
engage#v#9,,,,,engage#v#6,disengage#v#3,engagement#n#6,,,not-merged
engage#v#9,,,,,engage#v#10,disengage#v#1,engagement#n#6,,,not-merged
engage#v#6,disengage#v#3,engagement#n#6,,,engage#v#10,disengage#v#1,engagement#n#6,,,merged
member#n#1,nonmember#n#1,membership#n#2; membership#n#1,,,member#n#2,,membership#n#2,,,merged
evaluate#v#2,,,,,evaluate#v#1,,value#n#3; value#n#2; evaluation#n#2; evaluation#n#1; evaluator#n#1,,,not-merged
confirm#v#3,,,,,confirm#v#4,,confirmation#n#3,,,not-merged
confirm#v#3,,,,,confirm#v#5,,,,,not-merged
confirm#v#3,,,,,confirm#v#1,,confirmative#a#1; confirmatory#a#1; confirmation#n#2; confirmation#n#1,,,not-merged
confirm#v#3,,,,,confirm#v#2,,confirmatory#a#1; confirmation#n#2; confirmation#n#1,,,not-merged
confirm#v#4,,confirmation#n#3,,,confirm#v#5,,,,,not-merged
confirm#v#4,,confirmation#n#3,,,confirm#v#1,,confirmative#a#1; confirmatory#a#1; confirmation#n#2; confirmation#n#1,,,not-merged
confirm#v#4,,confirmation#n#3,,,confirm#v#2,,confirmatory#a#1; confirmation#n#2; confirmation#n#1,,,not-merged
confirm#v#5,,,,,confirm#v#1,,confirmative#a#1; confirmatory#a#1; confirmation#n#2; confirmation#n#1,,,not-merged
confirm#v#5,,,,,confirm#v#2,,confirmatory#a#1; confirmation#n#2; confirmation#n#1,,,not-merged
confirm#v#1,,confirmative#a#1; confirmatory#a#1; confirmation#n#2; confirmation#n#1,,,confirm#v#2,,confirmatory#a#1; confirmation#n#2; confirmation#n#1,,,merged
form#v#2,,formation#n#1; formation#n#4,,,form#v#3,,formation#n#7,,,not-merged
form#v#2,,formation#n#1; formation#n#4,,,form#v#6,,formative#a#3; formative#a#1,,,not-merged
form#v#2,,formation#n#1; formation#n#4,,,form#v#4,,form#n#16; form#n#3; formation#n#2; formation#n#3,,,not-merged
form#v#2,,formation#n#1; formation#n#4,,,form#v#5,,form#n#16; formation#n#2; formation#n#4; formation#n#3,,,not-merged
form#v#2,,formation#n#1; formation#n#4,,,form#v#1,,form#n#11,,,not-merged
form#v#2,,formation#n#1; formation#n#4,,,form#v#7,,,,,not-merged
form#v#3,,formation#n#7,,,form#v#6,,formative#a#3; formative#a#1,,,not-merged
form#v#3,,formation#n#7,,,form#v#4,,form#n#16; form#n#3; formation#n#2; formation#n#3,,,not-merged
form#v#3,,formation#n#7,,,form#v#5,,form#n#16; formation#n#2; formation#n#4; formation#n#3,,,not-merged
form#v#3,,formation#n#7,,,form#v#1,,form#n#11,,,not-merged
form#v#3,,formation#n#7,,,form#v#7,,,,,not-merged
form#v#6,,formative#a#3; formative#a#1,,,form#v#4,,form#n#16; form#n#3; formation#n#2; formation#n#3,,,not-merged
form#v#6,,formative#a#3; formative#a#1,,,form#v#5,,form#n#16; formation#n#2; formation#n#4; formation#n#3,,,not-merged
form#v#6,,formative#a#3; formative#a#1,,,form#v#1,,form#n#11,,,not-merged
form#v#6,,formative#a#3; formative#a#1,,,form#v#7,,,,,not-merged
form#v#4,,form#n#16; form#n#3; formation#n#2; formation#n#3,,,form#v#5,,form#n#16; formation#n#2; formation#n#4; formation#n#3,,,merged
form#v#4,,form#n#16; form#n#3; formation#n#2; formation#n#3,,,form#v#1,,form#n#11,,,not-merged
form#v#4,,form#n#16; form#n#3; formation#n#2; formation#n#3,,,form#v#7,,,,,not-merged
form#v#5,,form#n#16; formation#n#2; formation#n#4; formation#n#3,,,form#v#1,,form#n#11,,,not-merged
form#v#5,,form#n#16; formation#n#2; formation#n#4; formation#n#3,,,form#v#7,,,,,not-merged
form#v#1,,form#n#11,,,form#v#7,,,,,merged
wealth#n#1,poverty#n#1,wealthy#a#1; wealthy#a#1,,,wealth#n#2,,,,,not-merged
wealth#n#1,poverty#n#1,wealthy#a#1; wealthy#a#1,,,wealth#n#3,,wealthy#a#1,,,not-merged
wealth#n#1,poverty#n#1,wealthy#a#1; wealthy#a#1,,,wealth#n#4,,,,,not-merged
wealth#n#2,,,,,wealth#n#3,,wealthy#a#1,,,not-merged
wealth#n#2,,,,,wealth#n#4,,,,,not-merged
wealth#n#3,,wealthy#a#1,,,wealth#n#4,,,,,merged
consolation#n#1,,console#v#1,,,consolation#n#2,,console#v#1,,,merged
stage#v#1,,stage#n#4; stage#n#3; stager#n#1; staging#n#1,,,stage#v#2,,stage#n#5; stager#n#1,,,not-merged
scheme#n#1,,,,,scheme#n#2,,,,,merged
scheme#n#1,,,,,scheme#n#5,,schematic#a#1; scheme#v#2; schematize#v#1,,,merged
scheme#n#1,,,,,scheme#n#3,,,,,not-merged
scheme#n#1,,,,,scheme#n#4,,scheme#v#2; schematize#v#1; schematize#v#2,,,not-merged
scheme#n#2,,,,,scheme#n#5,,schematic#a#1; scheme#v#2; schematize#v#1,,,merged
scheme#n#2,,,,,scheme#n#3,,,,,not-merged
scheme#n#2,,,,,scheme#n#4,,scheme#v#2; schematize#v#1; schematize#v#2,,,not-merged
scheme#n#5,,schematic#a#1; scheme#v#2; schematize#v#1,,,scheme#n#3,,,,,not-merged
scheme#n#5,,schematic#a#1; scheme#v#2; schematize#v#1,,,scheme#n#4,,scheme#v#2; schematize#v#1; schematize#v#2,,,not-merged
scheme#n#3,,,,,scheme#n#4,,scheme#v#2; schematize#v#1; schematize#v#2,,,merged
area#n#1,,,,,area#n#2,,,,,not-merged
area#n#1,,,,,area#n#6,,,,,not-merged
area#n#1,,,,,area#n#3,,,,,not-merged
area#n#1,,,,,area#n#4,,,,,not-merged
area#n#1,,,,,area#n#5,,,,,not-merged
area#n#2,,,,,area#n#6,,,,,not-merged
area#n#2,,,,,area#n#3,,,,,not-merged
area#n#2,,,,,area#n#4,,,,,not-merged
area#n#2,,,,,area#n#5,,,,,not-merged
area#n#6,,,,,area#n#3,,,,,not-merged
area#n#6,,,,,area#n#4,,,,,not-merged
area#n#6,,,,,area#n#5,,,,,not-merged
area#n#3,,,,,area#n#4,,,,,not-merged
area#n#3,,,,,area#n#5,,,,,not-merged
area#n#4,,,,,area#n#5,,,,,merged
thickness#n#1,thinness#n#1,thick#a#5,,,thickness#n#2,,thick#a#4,,,not-merged
thickness#n#1,thinness#n#1,thick#a#5,,,thickness#n#3,,thick#a#1,,,not-merged
thickness#n#1,thinness#n#1,thick#a#5,,,thickness#n#4,thinness#n#5,thick#a#3,,,not-merged
thickness#n#2,,thick#a#4,,,thickness#n#3,,thick#a#1,,,not-merged
thickness#n#2,,thick#a#4,,,thickness#n#4,thinness#n#5,thick#a#3,,,not-merged
thickness#n#3,,thick#a#1,,,thickness#n#4,thinness#n#5,thick#a#3,,,not-merged
viewpoint#n#1,,,,,viewpoint#n#2,,,,,not-merged
satisfy#v#1,fall_short_of#v#1,satisfactory#a#2; satisfactory#a#1; satisfaction#n#4; satisfier#n#1,,,satisfy#v#2,dissatisfy#v#1,satisfier#n#1,,,merged
satisfy#v#1,fall_short_of#v#1,satisfactory#a#2; satisfactory#a#1; satisfaction#n#4; satisfier#n#1,,,satisfy#v#3,,satisfactory#a#2; satisfactory#a#1; satisfaction#n#4; satisfier#n#1,,,merged
satisfy#v#2,dissatisfy#v#1,satisfier#n#1,,,satisfy#v#3,,satisfactory#a#2; satisfactory#a#1; satisfaction#n#4; satisfier#n#1,,,merged
undertake#v#1,,undertaking#n#1,,,undertake#v#2,,,,,merged
undertake#v#1,,undertaking#n#1,,,undertake#v#5,,,,,merged
undertake#v#1,,undertaking#n#1,,,undertake#v#3,,,,,not-merged
undertake#v#1,,undertaking#n#1,,,undertake#v#4,,,,,not-merged
undertake#v#2,,,,,undertake#v#5,,,,,merged
undertake#v#2,,,,,undertake#v#3,,,,,not-merged
undertake#v#2,,,,,undertake#v#4,,,,,not-merged
undertake#v#5,,,,,undertake#v#3,,,,,not-merged
undertake#v#5,,,,,undertake#v#4,,,,,not-merged
undertake#v#3,,,,,undertake#v#4,,,,,merged
grinder#n#1,,,,,grinder#n#2,,grind#v#3,,,not-merged
grinder#n#1,,,,,grinder#n#3,,grind#v#3,,,not-merged
grinder#n#1,,,,,grinder#n#4,,,,,not-merged
grinder#n#2,,grind#v#3,,,grinder#n#3,,grind#v#3,,,not-merged
grinder#n#2,,grind#v#3,,,grinder#n#4,,,,,not-merged
grinder#n#3,,grind#v#3,,,grinder#n#4,,,,,not-merged
event#n#1,,,,,event#n#2,,,,,not-merged
event#n#1,,,,,event#n#3,,,,,not-merged
event#n#1,,,,,event#n#4,,eventuate#v#1,,,not-merged
event#n#2,,,,,event#n#3,,,,,not-merged
event#n#2,,,,,event#n#4,,eventuate#v#1,,,not-merged
event#n#3,,,,,event#n#4,,eventuate#v#1,,,merged
film#n#1,,film#v#2; film#v#1,,,film#n#3,,,,,not-merged
film#n#1,,film#v#2; film#v#1,,,film#n#4,,filmy#a#1,,,not-merged
film#n#1,,film#v#2; film#v#1,,,film#n#2,,film#v#2; film#v#1,,,not-merged
film#n#1,,film#v#2; film#v#1,,,film#n#5,,film#v#2; film#v#1,,,not-merged
film#n#3,,,,,film#n#4,,filmy#a#1,,,not-merged
film#n#3,,,,,film#n#2,,film#v#2; film#v#1,,,not-merged
film#n#3,,,,,film#n#5,,film#v#2; film#v#1,,,not-merged
film#n#4,,filmy#a#1,,,film#n#2,,film#v#2; film#v#1,,,not-merged
film#n#4,,filmy#a#1,,,film#n#5,,film#v#2; film#v#1,,,not-merged
film#n#2,,film#v#2; film#v#1,,,film#n#5,,film#v#2; film#v#1,,,merged
let#v#6,,letter#n#5; lessor#n#1,,,let#v#1,prevent#v#2,,,,not-merged
let#v#6,,letter#n#5; lessor#n#1,,,let#v#3,,,,,not-merged
let#v#6,,letter#n#5; lessor#n#1,,,let#v#5,,,,,not-merged
let#v#6,,letter#n#5; lessor#n#1,,,let#v#2,,,,,not-merged
let#v#6,,letter#n#5; lessor#n#1,,,let#v#4,,,,,not-merged
let#v#1,prevent#v#2,,,,let#v#3,,,,,merged
let#v#1,prevent#v#2,,,,let#v#5,,,,,merged
let#v#1,prevent#v#2,,,,let#v#2,,,,,not-merged
let#v#1,prevent#v#2,,,,let#v#4,,,,,not-merged
let#v#3,,,,,let#v#5,,,,,merged
let#v#3,,,,,let#v#2,,,,,not-merged
let#v#3,,,,,let#v#4,,,,,not-merged
let#v#5,,,,,let#v#2,,,,,not-merged
let#v#5,,,,,let#v#4,,,,,not-merged
let#v#2,,,,,let#v#4,,,,,merged
deficit#n#2,,,,,deficit#n#1,,,,,not-merged
deficit#n#2,,,,,deficit#n#3,lead#n#7,,,,not-merged
deficit#n#2,,,,,deficit#n#4,,,,,not-merged
deficit#n#1,,,,,deficit#n#3,lead#n#7,,,,merged
deficit#n#1,,,,,deficit#n#4,,,,,merged
deficit#n#3,lead#n#7,,,,deficit#n#4,,,,,merged
recovery#n#2,,recover#v#2,,,recovery#n#3,,recover#v#1,,,not-merged
recovery#n#2,,recover#v#2,,,recovery#n#1,,recover#v#3,,,not-merged
recovery#n#3,,recover#v#1,,,recovery#n#1,,recover#v#3,,,not-merged
player#n#1,,play#v#1,,,player#n#4,,play#v#1,,,not-merged
player#n#1,,play#v#1,,,player#n#2,,play#v#3,,,not-merged
player#n#1,,play#v#1,,,player#n#3,,play#v#25; play#v#4,,,not-merged
player#n#4,,play#v#1,,,player#n#2,,play#v#3,,,not-merged
player#n#4,,play#v#1,,,player#n#3,,play#v#25; play#v#4,,,not-merged
player#n#2,,play#v#3,,,player#n#3,,play#v#25; play#v#4,,,merged
stop#v#4,,stop#n#5; stop#n#3,,,stop#v#9,,,,,not-merged
stop#v#4,,stop#n#5; stop#n#3,,,stop#v#10,,stop#n#10; stopper#n#1,,,not-merged
stop#v#4,,stop#n#5; stop#n#3,,,stop#v#1,start#v#9,stop#n#1,,,not-merged
stop#v#4,,stop#n#5; stop#n#3,,,stop#v#2,,stop#n#3; stop#n#2; stop#n#1; stoppage#n#3,,,not-merged
stop#v#4,,stop#n#5; stop#n#3,,,stop#v#5,start#v#8,stop#n#1; stoppage#n#3,,,not-merged
stop#v#4,,stop#n#5; stop#n#3,,,stop#v#6,,stop#n#2,,,not-merged
stop#v#4,,stop#n#5; stop#n#3,,,stop#v#11,,stop#n#4; stoppage#n#1,,,not-merged
stop#v#4,,stop#n#5; stop#n#3,,,stop#v#3,,stop#n#2,,,not-merged
stop#v#4,,stop#n#5; stop#n#3,,,stop#v#7,,stop#n#10,,,not-merged
stop#v#4,,stop#n#5; stop#n#3,,,stop#v#8,,stop#n#10,,,not-merged
stop#v#9,,,,,stop#v#10,,stop#n#10; stopper#n#1,,,not-merged
stop#v#9,,,,,stop#v#1,start#v#9,stop#n#1,,,not-merged
stop#v#9,,,,,stop#v#2,,stop#n#3; stop#n#2; stop#n#1; stoppage#n#3,,,not-merged
stop#v#9,,,,,stop#v#5,start#v#8,stop#n#1; stoppage#n#3,,,not-merged
stop#v#9,,,,,stop#v#6,,stop#n#2,,,not-merged
stop#v#9,,,,,stop#v#11,,stop#n#4; stoppage#n#1,,,not-merged
stop#v#9,,,,,stop#v#3,,stop#n#2,,,not-merged
stop#v#9,,,,,stop#v#7,,stop#n#10,,,not-merged
stop#v#9,,,,,stop#v#8,,stop#n#10,,,not-merged
stop#v#10,,stop#n#10; stopper#n#1,,,stop#v#1,start#v#9,stop#n#1,,,not-merged
stop#v#10,,stop#n#10; stopper#n#1,,,stop#v#2,,stop#n#3; stop#n#2; stop#n#1; stoppage#n#3,,,not-merged
stop#v#10,,stop#n#10; stopper#n#1,,,stop#v#5,start#v#8,stop#n#1; stoppage#n#3,,,not-merged
stop#v#10,,stop#n#10; stopper#n#1,,,stop#v#6,,stop#n#2,,,not-merged
stop#v#10,,stop#n#10; stopper#n#1,,,stop#v#11,,stop#n#4; stoppage#n#1,,,not-merged
stop#v#10,,stop#n#10; stopper#n#1,,,stop#v#3,,stop#n#2,,,not-merged
stop#v#10,,stop#n#10; stopper#n#1,,,stop#v#7,,stop#n#10,,,not-merged
stop#v#10,,stop#n#10; stopper#n#1,,,stop#v#8,,stop#n#10,,,not-merged
stop#v#1,start#v#9,stop#n#1,,,stop#v#2,,stop#n#3; stop#n#2; stop#n#1; stoppage#n#3,,,merged
stop#v#1,start#v#9,stop#n#1,,,stop#v#5,start#v#8,stop#n#1; stoppage#n#3,,,merged
stop#v#1,start#v#9,stop#n#1,,,stop#v#6,,stop#n#2,,,merged
stop#v#1,start#v#9,stop#n#1,,,stop#v#11,,stop#n#4; stoppage#n#1,,,merged
stop#v#1,start#v#9,stop#n#1,,,stop#v#3,,stop#n#2,,,not-merged
stop#v#1,start#v#9,stop#n#1,,,stop#v#7,,stop#n#10,,,not-merged
stop#v#1,start#v#9,stop#n#1,,,stop#v#8,,stop#n#10,,,not-merged
stop#v#2,,stop#n#3; stop#n#2; stop#n#1; stoppage#n#3,,,stop#v#5,start#v#8,stop#n#1; stoppage#n#3,,,merged
stop#v#2,,stop#n#3; stop#n#2; stop#n#1; stoppage#n#3,,,stop#v#6,,stop#n#2,,,merged
stop#v#2,,stop#n#3; stop#n#2; stop#n#1; stoppage#n#3,,,stop#v#11,,stop#n#4; stoppage#n#1,,,merged
stop#v#2,,stop#n#3; stop#n#2; stop#n#1; stoppage#n#3,,,stop#v#3,,stop#n#2,,,not-merged
stop#v#2,,stop#n#3; stop#n#2; stop#n#1; stoppage#n#3,,,stop#v#7,,stop#n#10,,,not-merged
stop#v#2,,stop#n#3; stop#n#2; stop#n#1; stoppage#n#3,,,stop#v#8,,stop#n#10,,,not-merged
stop#v#5,start#v#8,stop#n#1; stoppage#n#3,,,stop#v#6,,stop#n#2,,,merged
stop#v#5,start#v#8,stop#n#1; stoppage#n#3,,,stop#v#11,,stop#n#4; stoppage#n#1,,,merged
stop#v#5,start#v#8,stop#n#1; stoppage#n#3,,,stop#v#3,,stop#n#2,,,not-merged
stop#v#5,start#v#8,stop#n#1; stoppage#n#3,,,stop#v#7,,stop#n#10,,,not-merged
stop#v#5,start#v#8,stop#n#1; stoppage#n#3,,,stop#v#8,,stop#n#10,,,not-merged
stop#v#6,,stop#n#2,,,stop#v#11,,stop#n#4; stoppage#n#1,,,merged
stop#v#6,,stop#n#2,,,stop#v#3,,stop#n#2,,,not-merged
stop#v#6,,stop#n#2,,,stop#v#7,,stop#n#10,,,not-merged
stop#v#6,,stop#n#2,,,stop#v#8,,stop#n#10,,,not-merged
stop#v#11,,stop#n#4; stoppage#n#1,,,stop#v#3,,stop#n#2,,,not-merged
stop#v#11,,stop#n#4; stoppage#n#1,,,stop#v#7,,stop#n#10,,,not-merged
stop#v#11,,stop#n#4; stoppage#n#1,,,stop#v#8,,stop#n#10,,,not-merged
stop#v#3,,stop#n#2,,,stop#v#7,,stop#n#10,,,merged
stop#v#3,,stop#n#2,,,stop#v#8,,stop#n#10,,,merged
stop#v#7,,stop#n#10,,,stop#v#8,,stop#n#10,,,merged
safeguard#v#1,,safeguard#n#1,,,safeguard#v#2,,safeguard#n#2,,,not-merged
return#v#11,,,,,return#v#16,,,,,not-merged
return#v#11,,,,,return#v#1,,return#n#2; return#n#5,,,not-merged
return#v#11,,,,,return#v#3,,return#n#3,,,not-merged
return#v#11,,,,,return#v#4,,,,,not-merged
return#v#11,,,,,return#v#5,,return#n#5,,,not-merged
return#v#11,,,,,return#v#9,,,,,not-merged
return#v#11,,,,,return#v#12,,,,,not-merged
return#v#11,,,,,return#v#14,,,,,not-merged
return#v#11,,,,,return#v#2,,return#n#4,,,not-merged
return#v#11,,,,,return#v#10,,,,,not-merged
return#v#11,,,,,return#v#13,,,,,not-merged
return#v#11,,,,,return#v#15,,return#n#6,,,not-merged
return#v#11,,,,,return#v#6,,return#n#8,,,not-merged
return#v#11,,,,,return#v#7,,return#n#12,,,not-merged
return#v#11,,,,,return#v#8,,return#n#8,,,not-merged
return#v#16,,,,,return#v#1,,return#n#2; return#n#5,,,not-merged
return#v#16,,,,,return#v#3,,return#n#3,,,not-merged
return#v#16,,,,,return#v#4,,,,,not-merged
return#v#16,,,,,return#v#5,,return#n#5,,,not-merged
return#v#16,,,,,return#v#9,,,,,not-merged
return#v#16,,,,,return#v#12,,,,,not-merged
return#v#16,,,,,return#v#14,,,,,not-merged
return#v#16,,,,,return#v#2,,return#n#4,,,not-merged
return#v#16,,,,,return#v#10,,,,,not-merged
return#v#16,,,,,return#v#13,,,,,not-merged
return#v#16,,,,,return#v#15,,return#n#6,,,not-merged
return#v#16,,,,,return#v#6,,return#n#8,,,not-merged
return#v#16,,,,,return#v#7,,return#n#12,,,not-merged
return#v#16,,,,,return#v#8,,return#n#8,,,not-merged
return#v#1,,return#n#2; return#n#5,,,return#v#3,,return#n#3,,,merged
return#v#1,,return#n#2; return#n#5,,,return#v#4,,,,,merged
return#v#1,,return#n#2; return#n#5,,,return#v#5,,return#n#5,,,merged
return#v#1,,return#n#2; return#n#5,,,return#v#9,,,,,merged
return#v#1,,return#n#2; return#n#5,,,return#v#12,,,,,merged
return#v#1,,return#n#2; return#n#5,,,return#v#14,,,,,merged
return#v#1,,return#n#2; return#n#5,,,return#v#2,,return#n#4,,,not-merged
return#v#1,,return#n#2; return#n#5,,,return#v#10,,,,,not-merged
return#v#1,,return#n#2; return#n#5,,,return#v#13,,,,,not-merged
return#v#1,,return#n#2; return#n#5,,,return#v#15,,return#n#6,,,not-merged
return#v#1,,return#n#2; return#n#5,,,return#v#6,,return#n#8,,,not-merged
return#v#1,,return#n#2; return#n#5,,,return#v#7,,return#n#12,,,not-merged
return#v#1,,return#n#2; return#n#5,,,return#v#8,,return#n#8,,,not-merged
return#v#3,,return#n#3,,,return#v#4,,,,,merged
return#v#3,,return#n#3,,,return#v#5,,return#n#5,,,merged
return#v#3,,return#n#3,,,return#v#9,,,,,merged
return#v#3,,return#n#3,,,return#v#12,,,,,merged
return#v#3,,return#n#3,,,return#v#14,,,,,merged
return#v#3,,return#n#3,,,return#v#2,,return#n#4,,,not-merged
return#v#3,,return#n#3,,,return#v#10,,,,,not-merged
return#v#3,,return#n#3,,,return#v#13,,,,,not-merged
return#v#3,,return#n#3,,,return#v#15,,return#n#6,,,not-merged
return#v#3,,return#n#3,,,return#v#6,,return#n#8,,,not-merged
return#v#3,,return#n#3,,,return#v#7,,return#n#12,,,not-merged
return#v#3,,return#n#3,,,return#v#8,,return#n#8,,,not-merged
return#v#4,,,,,return#v#5,,return#n#5,,,merged
return#v#4,,,,,return#v#9,,,,,merged
return#v#4,,,,,return#v#12,,,,,merged
return#v#4,,,,,return#v#14,,,,,merged
return#v#4,,,,,return#v#2,,return#n#4,,,not-merged
return#v#4,,,,,return#v#10,,,,,not-merged
return#v#4,,,,,return#v#13,,,,,not-merged
return#v#4,,,,,return#v#15,,return#n#6,,,not-merged
