pos,sense1_wn21,sense2_wn21,sense1_wn16,sense2_wn16,sense1_wn21_def,sense1_wn16_def,sense2_wn21_def,sense2_wn16_def
n,generation.n.3,generation.n.2,generation.n.3,generation.n.2,the normal time between successive generations,the normal time between successive generations,group of genetically related organisms constituting a single step in the line of descent,group of genetically related organisms constituting a single step in the line of descent
n,generation.n.5,generation.n.6,,,a coming into being,the normal time between successive generations,the production of heat or electricity,group of genetically related organisms constituting a single step in the line of descent
n,generation.n.5,generation.n.7,,generation.n.4,a coming into being,the normal time between successive generations,the act of producing offspring or multiplying by such production,the act of propagating
n,generation.n.5,generation.n.1,,coevals.n.1,a coming into being,the normal time between successive generations,all the people living at the same time or of approximately the same age,all the people living at the same time or of approximately the same age
n,generation.n.5,generation.n.2,,generation.n.2,a coming into being,the normal time between successive generations,group of genetically related organisms constituting a single step in the line of descent,group of genetically related organisms constituting a single step in the line of descent
n,generation.n.6,generation.n.7,,generation.n.4,the production of heat or electricity,the normal time between successive generations,the act of producing offspring or multiplying by such production,the act of propagating
n,generation.n.6,generation.n.1,,coevals.n.1,the production of heat or electricity,the normal time between successive generations,all the people living at the same time or of approximately the same age,all the people living at the same time or of approximately the same age
n,generation.n.6,generation.n.2,,generation.n.2,the production of heat or electricity,the normal time between successive generations,group of genetically related organisms constituting a single step in the line of descent,group of genetically related organisms constituting a single step in the line of descent
n,generation.n.7,generation.n.1,generation.n.4,coevals.n.1,the act of producing offspring or multiplying by such production,the act of propagating,all the people living at the same time or of approximately the same age,all the people living at the same time or of approximately the same age
n,generation.n.7,generation.n.2,generation.n.4,generation.n.2,the act of producing offspring or multiplying by such production,the act of propagating,group of genetically related organisms constituting a single step in the line of descent,group of genetically related organisms constituting a single step in the line of descent
n,generation.n.1,generation.n.2,coevals.n.1,generation.n.2,all the people living at the same time or of approximately the same age,all the people living at the same time or of approximately the same age,group of genetically related organisms constituting a single step in the line of descent,group of genetically related organisms constituting a single step in the line of descent
n,want.n.1,want.n.4,,wish.n.1,a state of extreme poverty,a state of extreme poverty,a specific feeling of desire,a specific feeling of desire
n,want.n.1,want.n.2,,lack.n.1,a state of extreme poverty,a state of extreme poverty,the state of needing something that is absent or unavailable,the state of needing something that is absent or unavailable
n,want.n.1,want.n.3,,need.n.2,a state of extreme poverty,a state of extreme poverty,anything that is necessary but lacking,anything that is necessary but lacking
n,want.n.4,want.n.2,wish.n.1,lack.n.1,a specific feeling of desire,a specific feeling of desire,the state of needing something that is absent or unavailable,the state of needing something that is absent or unavailable
n,want.n.4,want.n.3,wish.n.1,need.n.2,a specific feeling of desire,a specific feeling of desire,anything that is necessary but lacking,anything that is necessary but lacking
n,want.n.2,want.n.3,lack.n.1,need.n.2,the state of needing something that is absent or unavailable,the state of needing something that is absent or unavailable,anything that is necessary but lacking,anything that is necessary but lacking
n,ability.n.1,ability.n.2,ability.n.1,ability.n.2,the quality of being able to perform; a quality that permits or facilitates achievement or accomplishment,the quality of being able to perform; a quality that permits or facilitates achievement or accomplishment,possession of the qualities (especially mental qualities) required to do something or get something done,possession of the qualities (especially mental qualities) required to do something or get something done
n,portfolio.n.1,portfolio.n.2,portfolio.n.1,,"a large, flat, thin case for carrying loose papers or drawings or maps; usually leather",a case for carrying papers or drawings or maps; usually leather,a set of pieces of creative work collected to be shown to potential customers or employers,possession of the qualities (especially mental qualities) required to do something or get something done
n,portfolio.n.1,portfolio.n.3,portfolio.n.1,,"a large, flat, thin case for carrying loose papers or drawings or maps; usually leather",a case for carrying papers or drawings or maps; usually leather,a list of the financial assets held by an individual or a bank or other financial institution,possession of the qualities (especially mental qualities) required to do something or get something done
n,portfolio.n.1,portfolio.n.4,portfolio.n.1,,"a large, flat, thin case for carrying loose papers or drawings or maps; usually leather",a case for carrying papers or drawings or maps; usually leather,the role of the head of a government department,possession of the qualities (especially mental qualities) required to do something or get something done
n,portfolio.n.2,portfolio.n.3,,,a set of pieces of creative work collected to be shown to potential customers or employers,a case for carrying papers or drawings or maps; usually leather,a list of the financial assets held by an individual or a bank or other financial institution,possession of the qualities (especially mental qualities) required to do something or get something done
n,portfolio.n.2,portfolio.n.4,,,a set of pieces of creative work collected to be shown to potential customers or employers,a case for carrying papers or drawings or maps; usually leather,the role of the head of a government department,possession of the qualities (especially mental qualities) required to do something or get something done
n,portfolio.n.3,portfolio.n.4,,,a list of the financial assets held by an individual or a bank or other financial institution,a case for carrying papers or drawings or maps; usually leather,the role of the head of a government department,possession of the qualities (especially mental qualities) required to do something or get something done
n,need.n.3,need.n.4,motivation.n.1,,the psychological feature that arouses an organism to action toward a desired goal; the reason for the action; that which gives purpose and direction to behavior,the psychological feature that arouses an organism to action; the reason for the action,a state of extreme poverty or destitution,a state of extreme poverty or destitution
n,need.n.3,need.n.1,motivation.n.1,need.n.1,the psychological feature that arouses an organism to action toward a desired goal; the reason for the action; that which gives purpose and direction to behavior,the psychological feature that arouses an organism to action; the reason for the action,a condition requiring relief,a condition requiring relief
n,need.n.3,need.n.2,motivation.n.1,need.n.2,the psychological feature that arouses an organism to action toward a desired goal; the reason for the action; that which gives purpose and direction to behavior,the psychological feature that arouses an organism to action; the reason for the action,anything that is necessary but lacking,anything that is necessary but lacking
n,need.n.4,need.n.1,,need.n.1,a state of extreme poverty or destitution,a state of extreme poverty or destitution,a condition requiring relief,a condition requiring relief
n,need.n.4,need.n.2,,need.n.2,a state of extreme poverty or destitution,a state of extreme poverty or destitution,anything that is necessary but lacking,anything that is necessary but lacking
n,need.n.1,need.n.2,need.n.1,need.n.2,a condition requiring relief,a condition requiring relief,anything that is necessary but lacking,anything that is necessary but lacking
n,impact.n.1,impact.n.4,impact.n.1,shock.n.2,the striking of one body against another,the striking of one body against another,the violent interaction of individuals or groups entering into combat,the violent interaction of individuals or groups entering into combat
n,impact.n.1,impact.n.2,impact.n.1,,the striking of one body against another,the striking of one body against another,a forceful consequence; a strong effect,a forceful consequence
n,impact.n.1,impact.n.3,impact.n.1,impingement.n.1,the striking of one body against another,the striking of one body against another,influencing strongly,influencing strongly:
n,impact.n.4,impact.n.2,shock.n.2,,the violent interaction of individuals or groups entering into combat,the violent interaction of individuals or groups entering into combat,a forceful consequence; a strong effect,a forceful consequence
n,impact.n.4,impact.n.3,shock.n.2,impingement.n.1,the violent interaction of individuals or groups entering into combat,the violent interaction of individuals or groups entering into combat,influencing strongly,influencing strongly:
n,impact.n.2,impact.n.3,,impingement.n.1,a forceful consequence; a strong effect,a forceful consequence,influencing strongly,influencing strongly:
n,consequence.n.3,consequence.n.1,consequence.n.3,consequence.n.1,having important effects or influence,having important effects or influence,a phenomenon that follows and is caused by some previous phenomenon,a phenomenon that follows and is caused by some previous phenomenon
n,consequence.n.3,consequence.n.2,consequence.n.3,consequence.n.2,having important effects or influence,having important effects or influence,the outcome of an event especially as relative to an individual,the outcome of an event especially as relative to an individual
n,consequence.n.1,consequence.n.2,consequence.n.1,consequence.n.2,a phenomenon that follows and is caused by some previous phenomenon,a phenomenon that follows and is caused by some previous phenomenon,the outcome of an event especially as relative to an individual,the outcome of an event especially as relative to an individual
n,component.n.1,component.n.2,component.n.1,part.n.1,an abstract part of something,an abstract part of something:,something determined in relation to something that includes it,something determined in relation to something that includes it
n,component.n.1,component.n.3,component.n.1,component.n.3,an abstract part of something,an abstract part of something:,an artifact that is one of the individual parts of which a composite entity is made up; especially a part that can be separated from or attached to a system,an artifact that is one of the individual parts of which a composite entity is made up; especially a part that can be separated from or attached to a system:
n,component.n.2,component.n.3,part.n.1,component.n.3,something determined in relation to something that includes it,something determined in relation to something that includes it,an artifact that is one of the individual parts of which a composite entity is made up; especially a part that can be separated from or attached to a system,an artifact that is one of the individual parts of which a composite entity is made up; especially a part that can be separated from or attached to a system:
n,grief.n.1,grief.n.2,grief.n.1,grief.n.2,intense sorrow caused by loss of a loved one (especially by death),intense sorrow caused by loss of a loved one (especially by death),something that causes great unhappiness,something that causes great unhappiness
n,station.n.1,station.n.2,station.n.1,place.n.10,a facility equipped with special equipment and personnel for a particular purpose,a building equipped with special equipment and personnel for a particular purpose,proper or designated social situation,proper or designated social situation:
n,station.n.1,station.n.3,station.n.1,station.n.3,a facility equipped with special equipment and personnel for a particular purpose,a building equipped with special equipment and personnel for a particular purpose,(nautical) the location to which a ship or fleet is assigned for duty,(Navy) the location to which a ship or fleet is assigned for duty
n,station.n.1,station.n.4,station.n.1,post.n.1,a facility equipped with special equipment and personnel for a particular purpose,a building equipped with special equipment and personnel for a particular purpose,the position where someone (as a guard or sentry) stands or is assigned to stand,the position where something or someone (as a guard or sentry) stands or is assigned to stand:
n,station.n.2,station.n.3,place.n.10,station.n.3,proper or designated social situation,proper or designated social situation:,(nautical) the location to which a ship or fleet is assigned for duty,(Navy) the location to which a ship or fleet is assigned for duty
n,station.n.2,station.n.4,place.n.10,post.n.1,proper or designated social situation,proper or designated social situation:,the position where someone (as a guard or sentry) stands or is assigned to stand,the position where something or someone (as a guard or sentry) stands or is assigned to stand:
n,station.n.3,station.n.4,station.n.3,post.n.1,(nautical) the location to which a ship or fleet is assigned for duty,(Navy) the location to which a ship or fleet is assigned for duty,the position where someone (as a guard or sentry) stands or is assigned to stand,the position where something or someone (as a guard or sentry) stands or is assigned to stand:
n,incident.n.1,incident.n.2,incident.n.1,incident.n.2,a single distinct event,a single distinct event,a public disturbance,a public disturbance:
n,dawn.n.3,dawn.n.1,dawn.n.3,dawn.n.1,an opening time period,an opening time period,the first light of day,the first light of day
n,dawn.n.3,dawn.n.2,dawn.n.3,dawn.n.2,an opening time period,an opening time period,the earliest period,the earliest period:
n,dawn.n.1,dawn.n.2,dawn.n.1,dawn.n.2,the first light of day,the first light of day,the earliest period,the earliest period:
n,club.n.2,club.n.1,club.n.2,baseball_club.n.1,a formal association of people with similar interests,a formal association of people with similar interests,a team of professional baseball players who play and travel together,a team of professional baseball players who play and travel together
n,club.n.2,club.n.3,club.n.2,club.n.3,a formal association of people with similar interests,a formal association of people with similar interests,stout stick that is larger at one end,stout stick that is larger at one end
n,club.n.2,club.n.5,club.n.2,golfclub.n.1,a formal association of people with similar interests,a formal association of people with similar interests,golf equipment used by a golfer to hit a golf ball,an implement used by a golfer to hit a golf ball
n,club.n.2,club.n.6,club.n.2,club.n.6,a formal association of people with similar interests,a formal association of people with similar interests,a playing card in the minor suit that has one or more black trefoils on it,a playing card in the minor suit of clubs (having one or more black trefoils on it)
n,club.n.2,club.n.7,club.n.2,,a formal association of people with similar interests,a formal association of people with similar interests,a spot that is open late at night and that provides entertainment (as singers or dancers) as well as dancing and food and drink,a playing card in the minor suit of clubs (having one or more black trefoils on it)
n,club.n.1,club.n.3,baseball_club.n.1,club.n.3,a team of professional baseball players who play and travel together,a team of professional baseball players who play and travel together,stout stick that is larger at one end,stout stick that is larger at one end
n,club.n.1,club.n.5,baseball_club.n.1,golfclub.n.1,a team of professional baseball players who play and travel together,a team of professional baseball players who play and travel together,golf equipment used by a golfer to hit a golf ball,an implement used by a golfer to hit a golf ball
n,club.n.1,club.n.6,baseball_club.n.1,club.n.6,a team of professional baseball players who play and travel together,a team of professional baseball players who play and travel together,a playing card in the minor suit that has one or more black trefoils on it,a playing card in the minor suit of clubs (having one or more black trefoils on it)
n,club.n.1,club.n.7,baseball_club.n.1,,a team of professional baseball players who play and travel together,a team of professional baseball players who play and travel together,a spot that is open late at night and that provides entertainment (as singers or dancers) as well as dancing and food and drink,a playing card in the minor suit of clubs (having one or more black trefoils on it)
n,club.n.3,club.n.5,club.n.3,golfclub.n.1,stout stick that is larger at one end,stout stick that is larger at one end,golf equipment used by a golfer to hit a golf ball,an implement used by a golfer to hit a golf ball
n,club.n.3,club.n.6,club.n.3,club.n.6,stout stick that is larger at one end,stout stick that is larger at one end,a playing card in the minor suit that has one or more black trefoils on it,a playing card in the minor suit of clubs (having one or more black trefoils on it)
n,club.n.3,club.n.7,club.n.3,,stout stick that is larger at one end,stout stick that is larger at one end,a spot that is open late at night and that provides entertainment (as singers or dancers) as well as dancing and food and drink,a playing card in the minor suit of clubs (having one or more black trefoils on it)
n,club.n.5,club.n.6,golfclub.n.1,club.n.6,golf equipment used by a golfer to hit a golf ball,an implement used by a golfer to hit a golf ball,a playing card in the minor suit that has one or more black trefoils on it,a playing card in the minor suit of clubs (having one or more black trefoils on it)
n,club.n.5,club.n.7,golfclub.n.1,,golf equipment used by a golfer to hit a golf ball,an implement used by a golfer to hit a golf ball,a spot that is open late at night and that provides entertainment (as singers or dancers) as well as dancing and food and drink,a playing card in the minor suit of clubs (having one or more black trefoils on it)
n,club.n.6,club.n.7,club.n.6,,a playing card in the minor suit that has one or more black trefoils on it,a playing card in the minor suit of clubs (having one or more black trefoils on it),a spot that is open late at night and that provides entertainment (as singers or dancers) as well as dancing and food and drink,a playing card in the minor suit of clubs (having one or more black trefoils on it)
n,bus.n.1,bus.n.4,,bus.n.3,a vehicle carrying many passengers; used for public transport,a vehicle carrying many passengers; used for public transport,a car that is old and unreliable,a car that is old and unreliable
n,bus.n.1,bus.n.2,,,a vehicle carrying many passengers; used for public transport,a vehicle carrying many passengers; used for public transport,the topology of a network whose components are connected by a busbar,a car that is old and unreliable
n,bus.n.1,bus.n.3,,busbar.n.1,a vehicle carrying many passengers; used for public transport,a vehicle carrying many passengers; used for public transport,an electrical conductor that makes a common connection between several circuits,an electrical conductor that makes a common connection between several circuits
n,bus.n.4,bus.n.2,bus.n.3,,a car that is old and unreliable,a car that is old and unreliable,the topology of a network whose components are connected by a busbar,an electrical conductor that makes a common connection between several circuits
n,bus.n.4,bus.n.3,bus.n.3,busbar.n.1,a car that is old and unreliable,a car that is old and unreliable,an electrical conductor that makes a common connection between several circuits,an electrical conductor that makes a common connection between several circuits
n,bus.n.2,bus.n.3,,busbar.n.1,the topology of a network whose components are connected by a busbar,a car that is old and unreliable,an electrical conductor that makes a common connection between several circuits,an electrical conductor that makes a common connection between several circuits
n,stance.n.1,stance.n.2,stance.n.1,,standing posture,standing posture,a rationalized mental attitude,an electrical conductor that makes a common connection between several circuits
n,submarine.n.1,submarine.n.2,submarine.n.1,bomber.n.2,a submersible warship usually armed with torpedoes,a submersible warship usually armed with torpedos,a large sandwich made of a long crusty roll split lengthwise and filled with meats and cheese (and tomato and onion and lettuce and condiments); different names are used in different sections of the United States,a large sandwich made of a long crusty roll split lengthwise and filled with meats and cheese (and tomato and onion and lettuce and condiments); different names are used in different sections of the United States
n,article.n.1,article.n.2,article.n.1,article.n.2,nonfictional prose forming an independent part of a publication,nonfictional prose forming an independent part of a publication,one of a class of artifacts,one of a class of artifacts
n,article.n.1,article.n.4,article.n.1,article.n.4,nonfictional prose forming an independent part of a publication,nonfictional prose forming an independent part of a publication,(grammar) a determiner that may indicate the specificity of reference of a noun phrase,(Grammar) a determiner that may indicate the specificity of reference of a noun phrase
n,article.n.2,article.n.4,article.n.2,article.n.4,one of a class of artifacts,one of a class of artifacts,(grammar) a determiner that may indicate the specificity of reference of a noun phrase,(Grammar) a determiner that may indicate the specificity of reference of a noun phrase
n,ramp.n.1,ramp.n.3,ramp.n.1,,an inclined surface connecting two levels,an inclined surface or roadway that moves traffic from one level to another,a movable staircase that passengers use to board or leave an aircraft,(Grammar) a determiner that may indicate the specificity of reference of a noun phrase
n,ramp.n.1,ramp.n.2,ramp.n.1,ramp.n.2,an inclined surface connecting two levels,an inclined surface or roadway that moves traffic from one level to another,North American perennial having a slender bulb and whitish flowers,North American perennial having a slender bulb and whitish flowers
n,ramp.n.3,ramp.n.2,,ramp.n.2,a movable staircase that passengers use to board or leave an aircraft,an inclined surface or roadway that moves traffic from one level to another,North American perennial having a slender bulb and whitish flowers,North American perennial having a slender bulb and whitish flowers
n,share.n.1,share.n.5,share.n.1,plowshare.n.1,any of the equal portions into which the capital stock of a corporation is divided and ownership of which is evidenced by a stock certificate,any of the equal portions into which the capital stock of a corporation is divided and ownership of which is evidenced by a stock certificate,a sharp steel wedge that cuts loose the top layer of soil,a sharp steel wedge that cuts loose the top layer of soil
n,share.n.1,share.n.2,share.n.1,share.n.2,any of the equal portions into which the capital stock of a corporation is divided and ownership of which is evidenced by a stock certificate,any of the equal portions into which the capital stock of a corporation is divided and ownership of which is evidenced by a stock certificate,assets belonging to or due to or contributed by an individual person or group,an asset belonging to or due to or contributed by an individual person or group
n,share.n.1,share.n.3,share.n.1,parcel.n.2,any of the equal portions into which the capital stock of a corporation is divided and ownership of which is evidenced by a stock certificate,any of the equal portions into which the capital stock of a corporation is divided and ownership of which is evidenced by a stock certificate,the allotment of some amount by dividing something,the result of parcelling out or sharing
n,share.n.1,share.n.4,share.n.1,contribution.n.1,any of the equal portions into which the capital stock of a corporation is divided and ownership of which is evidenced by a stock certificate,any of the equal portions into which the capital stock of a corporation is divided and ownership of which is evidenced by a stock certificate,any one of a number of individual efforts in a common endeavor,any one of a number of individual efforts in a common endeavor:
n,share.n.5,share.n.2,plowshare.n.1,share.n.2,a sharp steel wedge that cuts loose the top layer of soil,a sharp steel wedge that cuts loose the top layer of soil,assets belonging to or due to or contributed by an individual person or group,an asset belonging to or due to or contributed by an individual person or group
n,share.n.5,share.n.3,plowshare.n.1,parcel.n.2,a sharp steel wedge that cuts loose the top layer of soil,a sharp steel wedge that cuts loose the top layer of soil,the allotment of some amount by dividing something,the result of parcelling out or sharing
n,share.n.5,share.n.4,plowshare.n.1,contribution.n.1,a sharp steel wedge that cuts loose the top layer of soil,a sharp steel wedge that cuts loose the top layer of soil,any one of a number of individual efforts in a common endeavor,any one of a number of individual efforts in a common endeavor:
n,share.n.2,share.n.3,share.n.2,parcel.n.2,assets belonging to or due to or contributed by an individual person or group,an asset belonging to or due to or contributed by an individual person or group,the allotment of some amount by dividing something,the result of parcelling out or sharing
n,share.n.2,share.n.4,share.n.2,contribution.n.1,assets belonging to or due to or contributed by an individual person or group,an asset belonging to or due to or contributed by an individual person or group,any one of a number of individual efforts in a common endeavor,any one of a number of individual efforts in a common endeavor:
n,share.n.3,share.n.4,parcel.n.2,contribution.n.1,the allotment of some amount by dividing something,the result of parcelling out or sharing,any one of a number of individual efforts in a common endeavor,any one of a number of individual efforts in a common endeavor:
n,window.n.5,window.n.8,,window.n.7,the time period that is considered best for starting or finishing something,the result of parcelling out or sharing,(computer science) a rectangular part of a computer screen that contains a display different from the rest of the screen,(computer science) a rectangular part of a computer screen that contains a display different from the rest of the screen
n,window.n.5,window.n.2,,window.n.2,the time period that is considered best for starting or finishing something,the result of parcelling out or sharing,a transparent opening in a vehicle that allow vision out of the sides or back; usually is capable of being opened,a transparent opening in a vehicle that allow vision out of the sides or back; usually is capable of being opened
n,window.n.5,window.n.3,,window.n.3,the time period that is considered best for starting or finishing something,the result of parcelling out or sharing,a transparent panel (as of an envelope) inserted in an otherwise opaque material,a transparent panel (as of an envelope) inserted in an otherwise opaque material
n,window.n.5,window.n.6,,windowpane.n.1,the time period that is considered best for starting or finishing something,the result of parcelling out or sharing,a pane of glass in a window,a pane in a window
n,window.n.5,window.n.1,,window.n.1,the time period that is considered best for starting or finishing something,the result of parcelling out or sharing,a framework of wood or metal that contains a glass windowpane and is built into a wall or roof to admit light or air,a framework of wood or metal that contains a glass windowpane and is built into a wall or roof to admit light or air
n,window.n.5,window.n.4,,window.n.4,the time period that is considered best for starting or finishing something,the result of parcelling out or sharing,an opening that resembles a window in appearance or function,an opening that resembles a window in appearance or function
n,window.n.5,window.n.7,,window.n.6,the time period that is considered best for starting or finishing something,the result of parcelling out or sharing,an opening in the wall of a building (usually to admit light and air),an open space in the wall of a building (usually to admit light and air)
n,window.n.8,window.n.2,window.n.7,window.n.2,(computer science) a rectangular part of a computer screen that contains a display different from the rest of the screen,(computer science) a rectangular part of a computer screen that contains a display different from the rest of the screen,a transparent opening in a vehicle that allow vision out of the sides or back; usually is capable of being opened,a transparent opening in a vehicle that allow vision out of the sides or back; usually is capable of being opened
n,window.n.8,window.n.3,window.n.7,window.n.3,(computer science) a rectangular part of a computer screen that contains a display different from the rest of the screen,(computer science) a rectangular part of a computer screen that contains a display different from the rest of the screen,a transparent panel (as of an envelope) inserted in an otherwise opaque material,a transparent panel (as of an envelope) inserted in an otherwise opaque material
n,window.n.8,window.n.6,window.n.7,windowpane.n.1,(computer science) a rectangular part of a computer screen that contains a display different from the rest of the screen,(computer science) a rectangular part of a computer screen that contains a display different from the rest of the screen,a pane of glass in a window,a pane in a window
n,window.n.8,window.n.1,window.n.7,window.n.1,(computer science) a rectangular part of a computer screen that contains a display different from the rest of the screen,(computer science) a rectangular part of a computer screen that contains a display different from the rest of the screen,a framework of wood or metal that contains a glass windowpane and is built into a wall or roof to admit light or air,a framework of wood or metal that contains a glass windowpane and is built into a wall or roof to admit light or air
n,window.n.8,window.n.4,window.n.7,window.n.4,(computer science) a rectangular part of a computer screen that contains a display different from the rest of the screen,(computer science) a rectangular part of a computer screen that contains a display different from the rest of the screen,an opening that resembles a window in appearance or function,an opening that resembles a window in appearance or function
n,window.n.8,window.n.7,window.n.7,window.n.6,(computer science) a rectangular part of a computer screen that contains a display different from the rest of the screen,(computer science) a rectangular part of a computer screen that contains a display different from the rest of the screen,an opening in the wall of a building (usually to admit light and air),an open space in the wall of a building (usually to admit light and air)
n,window.n.2,window.n.3,window.n.2,window.n.3,a transparent opening in a vehicle that allow vision out of the sides or back; usually is capable of being opened,a transparent opening in a vehicle that allow vision out of the sides or back; usually is capable of being opened,a transparent panel (as of an envelope) inserted in an otherwise opaque material,a transparent panel (as of an envelope) inserted in an otherwise opaque material
n,window.n.2,window.n.6,window.n.2,windowpane.n.1,a transparent opening in a vehicle that allow vision out of the sides or back; usually is capable of being opened,a transparent opening in a vehicle that allow vision out of the sides or back; usually is capable of being opened,a pane of glass in a window,a pane in a window
n,window.n.2,window.n.1,window.n.2,window.n.1,a transparent opening in a vehicle that allow vision out of the sides or back; usually is capable of being opened,a transparent opening in a vehicle that allow vision out of the sides or back; usually is capable of being opened,a framework of wood or metal that contains a glass windowpane and is built into a wall or roof to admit light or air,a framework of wood or metal that contains a glass windowpane and is built into a wall or roof to admit light or air
n,window.n.2,window.n.4,window.n.2,window.n.4,a transparent opening in a vehicle that allow vision out of the sides or back; usually is capable of being opened,a transparent opening in a vehicle that allow vision out of the sides or back; usually is capable of being opened,an opening that resembles a window in appearance or function,an opening that resembles a window in appearance or function
n,window.n.2,window.n.7,window.n.2,window.n.6,a transparent opening in a vehicle that allow vision out of the sides or back; usually is capable of being opened,a transparent opening in a vehicle that allow vision out of the sides or back; usually is capable of being opened,an opening in the wall of a building (usually to admit light and air),an open space in the wall of a building (usually to admit light and air)
n,window.n.3,window.n.6,window.n.3,windowpane.n.1,a transparent panel (as of an envelope) inserted in an otherwise opaque material,a transparent panel (as of an envelope) inserted in an otherwise opaque material,a pane of glass in a window,a pane in a window
n,window.n.3,window.n.1,window.n.3,window.n.1,a transparent panel (as of an envelope) inserted in an otherwise opaque material,a transparent panel (as of an envelope) inserted in an otherwise opaque material,a framework of wood or metal that contains a glass windowpane and is built into a wall or roof to admit light or air,a framework of wood or metal that contains a glass windowpane and is built into a wall or roof to admit light or air
n,window.n.3,window.n.4,window.n.3,window.n.4,a transparent panel (as of an envelope) inserted in an otherwise opaque material,a transparent panel (as of an envelope) inserted in an otherwise opaque material,an opening that resembles a window in appearance or function,an opening that resembles a window in appearance or function
n,window.n.3,window.n.7,window.n.3,window.n.6,a transparent panel (as of an envelope) inserted in an otherwise opaque material,a transparent panel (as of an envelope) inserted in an otherwise opaque material,an opening in the wall of a building (usually to admit light and air),an open space in the wall of a building (usually to admit light and air)
n,window.n.6,window.n.1,windowpane.n.1,window.n.1,a pane of glass in a window,a pane in a window,a framework of wood or metal that contains a glass windowpane and is built into a wall or roof to admit light or air,a framework of wood or metal that contains a glass windowpane and is built into a wall or roof to admit light or air
n,window.n.6,window.n.4,windowpane.n.1,window.n.4,a pane of glass in a window,a pane in a window,an opening that resembles a window in appearance or function,an opening that resembles a window in appearance or function
n,window.n.6,window.n.7,windowpane.n.1,window.n.6,a pane of glass in a window,a pane in a window,an opening in the wall of a building (usually to admit light and air),an open space in the wall of a building (usually to admit light and air)
n,window.n.1,window.n.4,window.n.1,window.n.4,a framework of wood or metal that contains a glass windowpane and is built into a wall or roof to admit light or air,a framework of wood or metal that contains a glass windowpane and is built into a wall or roof to admit light or air,an opening that resembles a window in appearance or function,an opening that resembles a window in appearance or function
n,window.n.1,window.n.7,window.n.1,window.n.6,a framework of wood or metal that contains a glass windowpane and is built into a wall or roof to admit light or air,a framework of wood or metal that contains a glass windowpane and is built into a wall or roof to admit light or air,an opening in the wall of a building (usually to admit light and air),an open space in the wall of a building (usually to admit light and air)
n,window.n.4,window.n.7,window.n.4,window.n.6,an opening that resembles a window in appearance or function,an opening that resembles a window in appearance or function,an opening in the wall of a building (usually to admit light and air),an open space in the wall of a building (usually to admit light and air)
n,trend.n.1,trend.n.2,tendency.n.4,course.n.3,a general direction in which something tends to move,a general direction in which something tends to move:,general line of orientation,general line of orientation:
n,trend.n.1,trend.n.3,tendency.n.4,,a general direction in which something tends to move,a general direction in which something tends to move:,a general tendency to change (as of opinion),a general tendency as of opinion:
n,trend.n.1,trend.n.4,tendency.n.4,vogue.n.1,a general direction in which something tends to move,a general direction in which something tends to move:,the popular taste at a given time,the popular taste at a given time
n,trend.n.2,trend.n.3,course.n.3,,general line of orientation,general line of orientation:,a general tendency to change (as of opinion),a general tendency as of opinion:
n,trend.n.2,trend.n.4,course.n.3,vogue.n.1,general line of orientation,general line of orientation:,the popular taste at a given time,the popular taste at a given time
n,trend.n.3,trend.n.4,,vogue.n.1,a general tendency to change (as of opinion),a general tendency as of opinion:,the popular taste at a given time,the popular taste at a given time
n,impediment.n.1,impediment.n.2,hindrance.n.1,obstruction.n.1,something immaterial that interferes with or delays action or progress,something immaterial that interferes with or delays action or progress,any structure that makes progress difficult,anything that makes progress difficult
n,net.n.1,net.n.2,,net.n.2,a computer network consisting of a worldwide network of computer networks that use the TCP/IP network protocols to facilitate data transmission and exchange,an interconnected or intersecting configuration or system of components,a trap made of netting to catch fish or birds or insects,a trap made of netting to catch fish or birds or insects
n,net.n.1,net.n.3,,net_income.n.1,a computer network consisting of a worldwide network of computer networks that use the TCP/IP network protocols to facilitate data transmission and exchange,an interconnected or intersecting configuration or system of components,the excess of revenues over outlays in a given period of time (including depreciation and other non-cash expenses),the excess of revenues over outlays in a given period of time
n,net.n.1,net.n.6,,network.n.3,a computer network consisting of a worldwide network of computer networks that use the TCP/IP network protocols to facilitate data transmission and exchange,an interconnected or intersecting configuration or system of components,an open fabric of string or rope or wire woven together at regular intervals,an interconnected or intersecting configuration or system of components
n,net.n.1,net.n.4,,net.n.4,a computer network consisting of a worldwide network of computer networks that use the TCP/IP network protocols to facilitate data transmission and exchange,an interconnected or intersecting configuration or system of components,a goal lined with netting (as in soccer or hockey),a goal lined with netting (as in soccer or hockey)
n,net.n.1,net.n.5,,net.n.5,a computer network consisting of a worldwide network of computer networks that use the TCP/IP network protocols to facilitate data transmission and exchange,an interconnected or intersecting configuration or system of components,game equipment consisting of a strip of netting dividing the playing area in tennis or badminton,a strip of netting dividing the playing area in tennis or badminton
n,net.n.2,net.n.3,net.n.2,net_income.n.1,a trap made of netting to catch fish or birds or insects,a trap made of netting to catch fish or birds or insects,the excess of revenues over outlays in a given period of time (including depreciation and other non-cash expenses),the excess of revenues over outlays in a given period of time
n,net.n.2,net.n.6,net.n.2,network.n.3,a trap made of netting to catch fish or birds or insects,a trap made of netting to catch fish or birds or insects,an open fabric of string or rope or wire woven together at regular intervals,an interconnected or intersecting configuration or system of components
