Pos,sense1_key17,sense1_wn17,sense2_wn17,sense2_key17,sense1_wn21,sense2_wn21,offset1_wn21,offset2_wn21,sense1_wn17_def,sense1_wn21_def,sense2_wn17_def,sense2_wn21_def,Merge,selse2
v,play%2:36:12::,play.v.03,play.v.07,play%2:36:01::,play#v#03,play#v#07,01709834-v,01710937-v,,play on an instrument,,perform music on (a musical instrument),merged,play#v#03-play#v#07
v,play%2:36:12::,play.v.03,play.v.14,play%2:36:03::,play#v#03,play#v#14,01709834-v,01701482-v,,play on an instrument,,perform on a certain location,not-merged,play#v#03-play#v#14
v,play%2:36:12::,play.v.03,play.v.26,play%2:36:04::,play#v#03,play#v#26,01709834-v,01701745-v,,play on an instrument,,be performed,not-merged,play#v#03-play#v#26
v,play%2:36:12::,play.v.03,play.v.11,play%2:41:00::,play#v#03,play#v#11,01709834-v,02394763-v,,play on an instrument,,engage in recreational activities rather than work; occupy oneself in a diversion,not-merged,play#v#03-play#v#11
v,play%2:36:12::,play.v.03,play.v.05,play%2:41:03::,play#v#03,play#v#05,01709834-v,02395028-v,,play on an instrument,,be at play; be engaged in playful activity; amuse oneself in a way characteristic of children,not-merged,play#v#03-play#v#05
v,play%2:36:12::,play.v.03,play.v.12,play%2:36:06::,play#v#03,play#v#12,01709834-v,01706860-v,,play on an instrument,,pretend to be somebody in the framework of a game or playful activity,not-merged,play#v#03-play#v#12
v,play%2:36:12::,play.v.03,play.v.29,play%2:33:07::,play#v#03,play#v#29,01709834-v,01145133-v,,play on an instrument,,make bets,not-merged,play#v#03-play#v#29
v,play%2:36:12::,play.v.03,play.v.10,play%2:33:01::,play#v#03,play#v#10,01709834-v,01128111-v,,play on an instrument,,bet or wager (money),not-merged,play#v#03-play#v#10
v,play%2:36:12::,play.v.03,play.v.18,play%2:36:05::,play#v#03,play#v#18,01709834-v,01702000-v,,play on an instrument,,cause to emit recorded sounds,not-merged,play#v#03-play#v#18
v,play%2:36:12::,play.v.03,play.v.13,play%2:36:11::,play#v#03,play#v#13,01709834-v,01702219-v,,play on an instrument,,emit recorded sound,not-merged,play#v#03-play#v#13
v,play%2:36:12::,play.v.03,play.v.31,play%2:33:09::,play#v#03,play#v#31,01709834-v,01069974-v,,play on an instrument,,shoot or hit in a particular manner,not-merged,play#v#03-play#v#31
v,play%2:36:12::,play.v.03,play.v.15,play%2:33:03::,play#v#03,play#v#15,01709834-v,01138514-v,,play on an instrument,,"put (a card or piece) into play during a game, or act strategically as if in a card game",not-merged,play#v#03-play#v#15
v,play%2:36:12::,play.v.03,play.v.32,play%2:33:13::,play#v#03,play#v#32,01709834-v,01069358-v,,play on an instrument,,use or move,not-merged,play#v#03-play#v#32
v,play%2:36:12::,play.v.03,play.v.33,play%2:33:12::,play#v#03,play#v#33,01709834-v,01069167-v,,play on an instrument,,employ in a game or in a specific position,not-merged,play#v#03-play#v#33
v,play%2:36:12::,play.v.03,play.v.20,play%2:34:13::,play#v#03,play#v#20,01709834-v,01152231-v,,play on an instrument,,use to one's advantage,not-merged,play#v#03-play#v#20
v,play%2:36:12::,play.v.03,play.v.16,play%2:29:00::,play#v#03,play#v#16,01709834-v,00013348-v,,play on an instrument,,engage in an activity as if it were a game rather than take it seriously,not-merged,play#v#03-play#v#16
v,play%2:36:12::,play.v.03,play.v.09,play%2:38:00::,play#v#03,play#v#09,01709834-v,01885549-v,,play on an instrument,,"move or seem to move quickly, lightly, or irregularly",not-merged,play#v#03-play#v#09
v,play%2:36:12::,play.v.03,play.v.22,play%2:42:00::,play#v#03,play#v#22,01709834-v,02698122-v,,play on an instrument,,be received or accepted or interpreted in a specific way,not-merged,play#v#03-play#v#22
v,play%2:36:12::,play.v.03,play.v.24,play%2:38:03::,play#v#03,play#v#24,01709834-v,01885726-v,,play on an instrument,,cause to move or operate freely within a bounded space,not-merged,play#v#03-play#v#24
v,play%2:36:12::,play.v.03,play.v.28,play%2:35:07::,play#v#03,play#v#28,01709834-v,01365050-v,,play on an instrument,,discharge or direct or be discharged or directed as if in a continuous stream,not-merged,play#v#03-play#v#28
v,play%2:36:12::,play.v.03,play.v.35,play%2:29:04::,play#v#03,play#v#35,01709834-v,00075144-v,,play on an instrument,,exhaust by allowing to pull on the line,not-merged,play#v#03-play#v#35
v,play%2:36:01::,play.v.07,play.v.14,play%2:36:03::,play#v#07,play#v#14,01710937-v,01701482-v,,perform music on (a musical instrument),,perform on a certain location,not-merged,play#v#07-play#v#14
v,play%2:36:01::,play.v.07,play.v.26,play%2:36:04::,play#v#07,play#v#26,01710937-v,01701745-v,,perform music on (a musical instrument),,be performed,not-merged,play#v#07-play#v#26
v,play%2:36:01::,play.v.07,play.v.11,play%2:41:00::,play#v#07,play#v#11,01710937-v,02394763-v,,perform music on (a musical instrument),,engage in recreational activities rather than work; occupy oneself in a diversion,not-merged,play#v#07-play#v#11
v,play%2:36:01::,play.v.07,play.v.05,play%2:41:03::,play#v#07,play#v#05,01710937-v,02395028-v,,perform music on (a musical instrument),,be at play; be engaged in playful activity; amuse oneself in a way characteristic of children,not-merged,play#v#07-play#v#05
v,play%2:36:01::,play.v.07,play.v.12,play%2:36:06::,play#v#07,play#v#12,01710937-v,01706860-v,,perform music on (a musical instrument),,pretend to be somebody in the framework of a game or playful activity,not-merged,play#v#07-play#v#12
v,play%2:36:01::,play.v.07,play.v.29,play%2:33:07::,play#v#07,play#v#29,01710937-v,01145133-v,,perform music on (a musical instrument),,make bets,not-merged,play#v#07-play#v#29
v,play%2:36:01::,play.v.07,play.v.10,play%2:33:01::,play#v#07,play#v#10,01710937-v,01128111-v,,perform music on (a musical instrument),,bet or wager (money),not-merged,play#v#07-play#v#10
v,play%2:36:01::,play.v.07,play.v.18,play%2:36:05::,play#v#07,play#v#18,01710937-v,01702000-v,,perform music on (a musical instrument),,cause to emit recorded sounds,not-merged,play#v#07-play#v#18
v,play%2:36:01::,play.v.07,play.v.13,play%2:36:11::,play#v#07,play#v#13,01710937-v,01702219-v,,perform music on (a musical instrument),,emit recorded sound,not-merged,play#v#07-play#v#13
v,play%2:36:01::,play.v.07,play.v.31,play%2:33:09::,play#v#07,play#v#31,01710937-v,01069974-v,,perform music on (a musical instrument),,shoot or hit in a particular manner,not-merged,play#v#07-play#v#31
v,play%2:36:01::,play.v.07,play.v.15,play%2:33:03::,play#v#07,play#v#15,01710937-v,01138514-v,,perform music on (a musical instrument),,"put (a card or piece) into play during a game, or act strategically as if in a card game",not-merged,play#v#07-play#v#15
v,play%2:36:01::,play.v.07,play.v.32,play%2:33:13::,play#v#07,play#v#32,01710937-v,01069358-v,,perform music on (a musical instrument),,use or move,not-merged,play#v#07-play#v#32
v,play%2:36:01::,play.v.07,play.v.33,play%2:33:12::,play#v#07,play#v#33,01710937-v,01069167-v,,perform music on (a musical instrument),,employ in a game or in a specific position,not-merged,play#v#07-play#v#33
v,play%2:36:01::,play.v.07,play.v.20,play%2:34:13::,play#v#07,play#v#20,01710937-v,01152231-v,,perform music on (a musical instrument),,use to one's advantage,not-merged,play#v#07-play#v#20
v,play%2:36:01::,play.v.07,play.v.16,play%2:29:00::,play#v#07,play#v#16,01710937-v,00013348-v,,perform music on (a musical instrument),,engage in an activity as if it were a game rather than take it seriously,not-merged,play#v#07-play#v#16
v,play%2:36:01::,play.v.07,play.v.09,play%2:38:00::,play#v#07,play#v#09,01710937-v,01885549-v,,perform music on (a musical instrument),,"move or seem to move quickly, lightly, or irregularly",not-merged,play#v#07-play#v#09
v,play%2:36:01::,play.v.07,play.v.22,play%2:42:00::,play#v#07,play#v#22,01710937-v,02698122-v,,perform music on (a musical instrument),,be received or accepted or interpreted in a specific way,not-merged,play#v#07-play#v#22
v,play%2:36:01::,play.v.07,play.v.24,play%2:38:03::,play#v#07,play#v#24,01710937-v,01885726-v,,perform music on (a musical instrument),,cause to move or operate freely within a bounded space,not-merged,play#v#07-play#v#24
v,play%2:36:01::,play.v.07,play.v.28,play%2:35:07::,play#v#07,play#v#28,01710937-v,01365050-v,,perform music on (a musical instrument),,discharge or direct or be discharged or directed as if in a continuous stream,not-merged,play#v#07-play#v#28
v,play%2:36:01::,play.v.07,play.v.35,play%2:29:04::,play#v#07,play#v#35,01710937-v,00075144-v,,perform music on (a musical instrument),,exhaust by allowing to pull on the line,not-merged,play#v#07-play#v#35
v,play%2:36:03::,play.v.14,play.v.11,play%2:41:00::,play#v#14,play#v#11,01701482-v,02394763-v,,perform on a certain location,,engage in recreational activities rather than work; occupy oneself in a diversion,not-merged,play#v#14-play#v#11
v,play%2:36:03::,play.v.14,play.v.05,play%2:41:03::,play#v#14,play#v#05,01701482-v,02395028-v,,perform on a certain location,,be at play; be engaged in playful activity; amuse oneself in a way characteristic of children,not-merged,play#v#14-play#v#05
v,play%2:36:03::,play.v.14,play.v.12,play%2:36:06::,play#v#14,play#v#12,01701482-v,01706860-v,,perform on a certain location,,pretend to be somebody in the framework of a game or playful activity,not-merged,play#v#14-play#v#12
v,play%2:36:03::,play.v.14,play.v.18,play%2:36:05::,play#v#14,play#v#18,01701482-v,01702000-v,,perform on a certain location,,cause to emit recorded sounds,not-merged,play#v#14-play#v#18
v,play%2:36:03::,play.v.14,play.v.13,play%2:36:11::,play#v#14,play#v#13,01701482-v,01702219-v,,perform on a certain location,,emit recorded sound,not-merged,play#v#14-play#v#13
v,play%2:36:03::,play.v.14,play.v.31,play%2:33:09::,play#v#14,play#v#31,01701482-v,01069974-v,,perform on a certain location,,shoot or hit in a particular manner,not-merged,play#v#14-play#v#31
v,play%2:36:03::,play.v.14,play.v.15,play%2:33:03::,play#v#14,play#v#15,01701482-v,01138514-v,,perform on a certain location,,"put (a card or piece) into play during a game, or act strategically as if in a card game",not-merged,play#v#14-play#v#15
v,play%2:36:03::,play.v.14,play.v.32,play%2:33:13::,play#v#14,play#v#32,01701482-v,01069358-v,,perform on a certain location,,use or move,not-merged,play#v#14-play#v#32
v,play%2:36:03::,play.v.14,play.v.33,play%2:33:12::,play#v#14,play#v#33,01701482-v,01069167-v,,perform on a certain location,,employ in a game or in a specific position,not-merged,play#v#14-play#v#33
v,play%2:36:03::,play.v.14,play.v.09,play%2:38:00::,play#v#14,play#v#09,01701482-v,01885549-v,,perform on a certain location,,"move or seem to move quickly, lightly, or irregularly",not-merged,play#v#14-play#v#09
v,play%2:36:03::,play.v.14,play.v.22,play%2:42:00::,play#v#14,play#v#22,01701482-v,02698122-v,,perform on a certain location,,be received or accepted or interpreted in a specific way,not-merged,play#v#14-play#v#22
v,play%2:36:03::,play.v.14,play.v.28,play%2:35:07::,play#v#14,play#v#28,01701482-v,01365050-v,,perform on a certain location,,discharge or direct or be discharged or directed as if in a continuous stream,not-merged,play#v#14-play#v#28
v,play%2:36:03::,play.v.14,play.v.35,play%2:29:04::,play#v#14,play#v#35,01701482-v,00075144-v,,perform on a certain location,,exhaust by allowing to pull on the line,not-merged,play#v#14-play#v#35
v,play%2:36:04::,play.v.26,play.v.11,play%2:41:00::,play#v#26,play#v#11,01701745-v,02394763-v,,be performed,,engage in recreational activities rather than work; occupy oneself in a diversion,not-merged,play#v#26-play#v#11
v,play%2:36:04::,play.v.26,play.v.05,play%2:41:03::,play#v#26,play#v#05,01701745-v,02395028-v,,be performed,,be at play; be engaged in playful activity; amuse oneself in a way characteristic of children,not-merged,play#v#26-play#v#05
v,play%2:36:04::,play.v.26,play.v.12,play%2:36:06::,play#v#26,play#v#12,01701745-v,01706860-v,,be performed,,pretend to be somebody in the framework of a game or playful activity,not-merged,play#v#26-play#v#12
v,play%2:36:04::,play.v.26,play.v.18,play%2:36:05::,play#v#26,play#v#18,01701745-v,01702000-v,,be performed,,cause to emit recorded sounds,not-merged,play#v#26-play#v#18
v,play%2:36:04::,play.v.26,play.v.13,play%2:36:11::,play#v#26,play#v#13,01701745-v,01702219-v,,be performed,,emit recorded sound,not-merged,play#v#26-play#v#13
v,play%2:36:04::,play.v.26,play.v.31,play%2:33:09::,play#v#26,play#v#31,01701745-v,01069974-v,,be performed,,shoot or hit in a particular manner,not-merged,play#v#26-play#v#31
v,play%2:36:04::,play.v.26,play.v.15,play%2:33:03::,play#v#26,play#v#15,01701745-v,01138514-v,,be performed,,"put (a card or piece) into play during a game, or act strategically as if in a card game",not-merged,play#v#26-play#v#15
v,play%2:36:04::,play.v.26,play.v.32,play%2:33:13::,play#v#26,play#v#32,01701745-v,01069358-v,,be performed,,use or move,not-merged,play#v#26-play#v#32
v,play%2:36:04::,play.v.26,play.v.33,play%2:33:12::,play#v#26,play#v#33,01701745-v,01069167-v,,be performed,,employ in a game or in a specific position,not-merged,play#v#26-play#v#33
v,play%2:36:04::,play.v.26,play.v.09,play%2:38:00::,play#v#26,play#v#09,01701745-v,01885549-v,,be performed,,"move or seem to move quickly, lightly, or irregularly",not-merged,play#v#26-play#v#09
v,play%2:36:04::,play.v.26,play.v.22,play%2:42:00::,play#v#26,play#v#22,01701745-v,02698122-v,,be performed,,be received or accepted or interpreted in a specific way,not-merged,play#v#26-play#v#22
v,play%2:36:04::,play.v.26,play.v.28,play%2:35:07::,play#v#26,play#v#28,01701745-v,01365050-v,,be performed,,discharge or direct or be discharged or directed as if in a continuous stream,not-merged,play#v#26-play#v#28
v,play%2:36:04::,play.v.26,play.v.35,play%2:29:04::,play#v#26,play#v#35,01701745-v,00075144-v,,be performed,,exhaust by allowing to pull on the line,not-merged,play#v#26-play#v#35
v,play%2:41:00::,play.v.11,play.v.05,play%2:41:03::,play#v#11,play#v#05,02394763-v,02395028-v,,engage in recreational activities rather than work; occupy oneself in a diversion,,be at play; be engaged in playful activity; amuse oneself in a way characteristic of children,merged,play#v#11-play#v#05
v,play%2:41:00::,play.v.11,play.v.09,play%2:38:00::,play#v#11,play#v#09,02394763-v,01885549-v,,engage in recreational activities rather than work; occupy oneself in a diversion,,"move or seem to move quickly, lightly, or irregularly",not-merged,play#v#11-play#v#09
v,play%2:41:00::,play.v.11,play.v.22,play%2:42:00::,play#v#11,play#v#22,02394763-v,02698122-v,,engage in recreational activities rather than work; occupy oneself in a diversion,,be received or accepted or interpreted in a specific way,not-merged,play#v#11-play#v#22
v,play%2:41:00::,play.v.11,play.v.28,play%2:35:07::,play#v#11,play#v#28,02394763-v,01365050-v,,engage in recreational activities rather than work; occupy oneself in a diversion,,discharge or direct or be discharged or directed as if in a continuous stream,not-merged,play#v#11-play#v#28
v,play%2:41:00::,play.v.11,play.v.35,play%2:29:04::,play#v#11,play#v#35,02394763-v,00075144-v,,engage in recreational activities rather than work; occupy oneself in a diversion,,exhaust by allowing to pull on the line,not-merged,play#v#11-play#v#35
v,play%2:41:03::,play.v.05,play.v.12,play%2:36:06::,play#v#05,play#v#12,02395028-v,01706860-v,,be at play; be engaged in playful activity; amuse oneself in a way characteristic of children,,pretend to be somebody in the framework of a game or playful activity,merged,play#v#05-play#v#12
v,play%2:41:03::,play.v.05,play.v.29,play%2:33:07::,play#v#05,play#v#29,02395028-v,01145133-v,,be at play; be engaged in playful activity; amuse oneself in a way characteristic of children,,make bets,not-merged,play#v#05-play#v#29
v,play%2:41:03::,play.v.05,play.v.10,play%2:33:01::,play#v#05,play#v#10,02395028-v,01128111-v,,be at play; be engaged in playful activity; amuse oneself in a way characteristic of children,,bet or wager (money),not-merged,play#v#05-play#v#10
v,play%2:41:03::,play.v.05,play.v.18,play%2:36:05::,play#v#05,play#v#18,02395028-v,01702000-v,,be at play; be engaged in playful activity; amuse oneself in a way characteristic of children,,cause to emit recorded sounds,not-merged,play#v#05-play#v#18
v,play%2:41:03::,play.v.05,play.v.13,play%2:36:11::,play#v#05,play#v#13,02395028-v,01702219-v,,be at play; be engaged in playful activity; amuse oneself in a way characteristic of children,,emit recorded sound,not-merged,play#v#05-play#v#13
v,play%2:41:03::,play.v.05,play.v.31,play%2:33:09::,play#v#05,play#v#31,02395028-v,01069974-v,,be at play; be engaged in playful activity; amuse oneself in a way characteristic of children,,shoot or hit in a particular manner,not-merged,play#v#05-play#v#31
v,play%2:41:03::,play.v.05,play.v.15,play%2:33:03::,play#v#05,play#v#15,02395028-v,01138514-v,,be at play; be engaged in playful activity; amuse oneself in a way characteristic of children,,"put (a card or piece) into play during a game, or act strategically as if in a card game",not-merged,play#v#05-play#v#15
v,play%2:41:03::,play.v.05,play.v.32,play%2:33:13::,play#v#05,play#v#32,02395028-v,01069358-v,,be at play; be engaged in playful activity; amuse oneself in a way characteristic of children,,use or move,not-merged,play#v#05-play#v#32
v,play%2:41:03::,play.v.05,play.v.33,play%2:33:12::,play#v#05,play#v#33,02395028-v,01069167-v,,be at play; be engaged in playful activity; amuse oneself in a way characteristic of children,,employ in a game or in a specific position,not-merged,play#v#05-play#v#33
v,play%2:41:03::,play.v.05,play.v.20,play%2:34:13::,play#v#05,play#v#20,02395028-v,01152231-v,,be at play; be engaged in playful activity; amuse oneself in a way characteristic of children,,use to one's advantage,not-merged,play#v#05-play#v#20
v,play%2:41:03::,play.v.05,play.v.16,play%2:29:00::,play#v#05,play#v#16,02395028-v,00013348-v,,be at play; be engaged in playful activity; amuse oneself in a way characteristic of children,,engage in an activity as if it were a game rather than take it seriously,not-merged,play#v#05-play#v#16
v,play%2:41:03::,play.v.05,play.v.09,play%2:38:00::,play#v#05,play#v#09,02395028-v,01885549-v,,be at play; be engaged in playful activity; amuse oneself in a way characteristic of children,,"move or seem to move quickly, lightly, or irregularly",not-merged,play#v#05-play#v#09
v,play%2:41:03::,play.v.05,play.v.22,play%2:42:00::,play#v#05,play#v#22,02395028-v,02698122-v,,be at play; be engaged in playful activity; amuse oneself in a way characteristic of children,,be received or accepted or interpreted in a specific way,not-merged,play#v#05-play#v#22
v,play%2:41:03::,play.v.05,play.v.24,play%2:38:03::,play#v#05,play#v#24,02395028-v,01885726-v,,be at play; be engaged in playful activity; amuse oneself in a way characteristic of children,,cause to move or operate freely within a bounded space,not-merged,play#v#05-play#v#24
v,play%2:41:03::,play.v.05,play.v.28,play%2:35:07::,play#v#05,play#v#28,02395028-v,01365050-v,,be at play; be engaged in playful activity; amuse oneself in a way characteristic of children,,discharge or direct or be discharged or directed as if in a continuous stream,not-merged,play#v#05-play#v#28
v,play%2:41:03::,play.v.05,play.v.35,play%2:29:04::,play#v#05,play#v#35,02395028-v,00075144-v,,be at play; be engaged in playful activity; amuse oneself in a way characteristic of children,,exhaust by allowing to pull on the line,not-merged,play#v#05-play#v#35
v,play%2:36:06::,play.v.12,play.v.09,play%2:38:00::,play#v#12,play#v#09,01706860-v,01885549-v,,pretend to be somebody in the framework of a game or playful activity,,"move or seem to move quickly, lightly, or irregularly",not-merged,play#v#12-play#v#09
v,play%2:36:06::,play.v.12,play.v.22,play%2:42:00::,play#v#12,play#v#22,01706860-v,02698122-v,,pretend to be somebody in the framework of a game or playful activity,,be received or accepted or interpreted in a specific way,not-merged,play#v#12-play#v#22
v,play%2:36:06::,play.v.12,play.v.28,play%2:35:07::,play#v#12,play#v#28,01706860-v,01365050-v,,pretend to be somebody in the framework of a game or playful activity,,discharge or direct or be discharged or directed as if in a continuous stream,not-merged,play#v#12-play#v#28
v,play%2:36:06::,play.v.12,play.v.35,play%2:29:04::,play#v#12,play#v#35,01706860-v,00075144-v,,pretend to be somebody in the framework of a game or playful activity,,exhaust by allowing to pull on the line,not-merged,play#v#12-play#v#35
v,play%2:33:07::,play.v.29,play.v.10,play%2:33:01::,play#v#29,play#v#10,01145133-v,01128111-v,,make bets,,bet or wager (money),merged,play#v#29-play#v#10
v,play%2:33:07::,play.v.29,play.v.18,play%2:36:05::,play#v#29,play#v#18,01145133-v,01702000-v,,make bets,,cause to emit recorded sounds,not-merged,play#v#29-play#v#18
v,play%2:33:07::,play.v.29,play.v.13,play%2:36:11::,play#v#29,play#v#13,01145133-v,01702219-v,,make bets,,emit recorded sound,not-merged,play#v#29-play#v#13
v,play%2:33:07::,play.v.29,play.v.31,play%2:33:09::,play#v#29,play#v#31,01145133-v,01069974-v,,make bets,,shoot or hit in a particular manner,not-merged,play#v#29-play#v#31
v,play%2:33:07::,play.v.29,play.v.15,play%2:33:03::,play#v#29,play#v#15,01145133-v,01138514-v,,make bets,,"put (a card or piece) into play during a game, or act strategically as if in a card game",not-merged,play#v#29-play#v#15
v,play%2:33:07::,play.v.29,play.v.32,play%2:33:13::,play#v#29,play#v#32,01145133-v,01069358-v,,make bets,,use or move,not-merged,play#v#29-play#v#32
v,play%2:33:07::,play.v.29,play.v.33,play%2:33:12::,play#v#29,play#v#33,01145133-v,01069167-v,,make bets,,employ in a game or in a specific position,not-merged,play#v#29-play#v#33
v,play%2:33:07::,play.v.29,play.v.09,play%2:38:00::,play#v#29,play#v#09,01145133-v,01885549-v,,make bets,,"move or seem to move quickly, lightly, or irregularly",not-merged,play#v#29-play#v#09
v,play%2:33:07::,play.v.29,play.v.22,play%2:42:00::,play#v#29,play#v#22,01145133-v,02698122-v,,make bets,,be received or accepted or interpreted in a specific way,not-merged,play#v#29-play#v#22
v,play%2:33:07::,play.v.29,play.v.28,play%2:35:07::,play#v#29,play#v#28,01145133-v,01365050-v,,make bets,,discharge or direct or be discharged or directed as if in a continuous stream,not-merged,play#v#29-play#v#28
v,play%2:33:07::,play.v.29,play.v.35,play%2:29:04::,play#v#29,play#v#35,01145133-v,00075144-v,,make bets,,exhaust by allowing to pull on the line,not-merged,play#v#29-play#v#35
v,play%2:33:01::,play.v.10,play.v.18,play%2:36:05::,play#v#10,play#v#18,01128111-v,01702000-v,,bet or wager (money),,cause to emit recorded sounds,not-merged,play#v#10-play#v#18
v,play%2:33:01::,play.v.10,play.v.13,play%2:36:11::,play#v#10,play#v#13,01128111-v,01702219-v,,bet or wager (money),,emit recorded sound,not-merged,play#v#10-play#v#13
v,play%2:33:01::,play.v.10,play.v.31,play%2:33:09::,play#v#10,play#v#31,01128111-v,01069974-v,,bet or wager (money),,shoot or hit in a particular manner,not-merged,play#v#10-play#v#31
v,play%2:33:01::,play.v.10,play.v.15,play%2:33:03::,play#v#10,play#v#15,01128111-v,01138514-v,,bet or wager (money),,"put (a card or piece) into play during a game, or act strategically as if in a card game",not-merged,play#v#10-play#v#15
v,play%2:33:01::,play.v.10,play.v.32,play%2:33:13::,play#v#10,play#v#32,01128111-v,01069358-v,,bet or wager (money),,use or move,not-merged,play#v#10-play#v#32
v,play%2:33:01::,play.v.10,play.v.33,play%2:33:12::,play#v#10,play#v#33,01128111-v,01069167-v,,bet or wager (money),,employ in a game or in a specific position,not-merged,play#v#10-play#v#33
v,play%2:33:01::,play.v.10,play.v.09,play%2:38:00::,play#v#10,play#v#09,01128111-v,01885549-v,,bet or wager (money),,"move or seem to move quickly, lightly, or irregularly",not-merged,play#v#10-play#v#09
v,play%2:33:01::,play.v.10,play.v.22,play%2:42:00::,play#v#10,play#v#22,01128111-v,02698122-v,,bet or wager (money),,be received or accepted or interpreted in a specific way,not-merged,play#v#10-play#v#22
v,play%2:33:01::,play.v.10,play.v.28,play%2:35:07::,play#v#10,play#v#28,01128111-v,01365050-v,,bet or wager (money),,discharge or direct or be discharged or directed as if in a continuous stream,not-merged,play#v#10-play#v#28
v,play%2:33:01::,play.v.10,play.v.35,play%2:29:04::,play#v#10,play#v#35,01128111-v,00075144-v,,bet or wager (money),,exhaust by allowing to pull on the line,not-merged,play#v#10-play#v#35
v,play%2:36:05::,play.v.18,play.v.13,play%2:36:11::,play#v#18,play#v#13,01702000-v,01702219-v,,cause to emit recorded sounds,,emit recorded sound,merged,play#v#18-play#v#13
v,play%2:36:05::,play.v.18,play.v.31,play%2:33:09::,play#v#18,play#v#31,01702000-v,01069974-v,,cause to emit recorded sounds,,shoot or hit in a particular manner,not-merged,play#v#18-play#v#31
v,play%2:36:05::,play.v.18,play.v.15,play%2:33:03::,play#v#18,play#v#15,01702000-v,01138514-v,,cause to emit recorded sounds,,"put (a card or piece) into play during a game, or act strategically as if in a card game",not-merged,play#v#18-play#v#15
v,play%2:36:05::,play.v.18,play.v.32,play%2:33:13::,play#v#18,play#v#32,01702000-v,01069358-v,,cause to emit recorded sounds,,use or move,not-merged,play#v#18-play#v#32
v,play%2:36:05::,play.v.18,play.v.33,play%2:33:12::,play#v#18,play#v#33,01702000-v,01069167-v,,cause to emit recorded sounds,,employ in a game or in a specific position,not-merged,play#v#18-play#v#33
v,play%2:36:05::,play.v.18,play.v.09,play%2:38:00::,play#v#18,play#v#09,01702000-v,01885549-v,,cause to emit recorded sounds,,"move or seem to move quickly, lightly, or irregularly",not-merged,play#v#18-play#v#09
v,play%2:36:05::,play.v.18,play.v.22,play%2:42:00::,play#v#18,play#v#22,01702000-v,02698122-v,,cause to emit recorded sounds,,be received or accepted or interpreted in a specific way,not-merged,play#v#18-play#v#22
v,play%2:36:05::,play.v.18,play.v.28,play%2:35:07::,play#v#18,play#v#28,01702000-v,01365050-v,,cause to emit recorded sounds,,discharge or direct or be discharged or directed as if in a continuous stream,not-merged,play#v#18-play#v#28
v,play%2:36:05::,play.v.18,play.v.35,play%2:29:04::,play#v#18,play#v#35,01702000-v,00075144-v,,cause to emit recorded sounds,,exhaust by allowing to pull on the line,not-merged,play#v#18-play#v#35
v,play%2:36:11::,play.v.13,play.v.31,play%2:33:09::,play#v#13,play#v#31,01702219-v,01069974-v,,emit recorded sound,,shoot or hit in a particular manner,not-merged,play#v#13-play#v#31
v,play%2:36:11::,play.v.13,play.v.15,play%2:33:03::,play#v#13,play#v#15,01702219-v,01138514-v,,emit recorded sound,,"put (a card or piece) into play during a game, or act strategically as if in a card game",not-merged,play#v#13-play#v#15
v,play%2:36:11::,play.v.13,play.v.32,play%2:33:13::,play#v#13,play#v#32,01702219-v,01069358-v,,emit recorded sound,,use or move,not-merged,play#v#13-play#v#32
v,play%2:36:11::,play.v.13,play.v.33,play%2:33:12::,play#v#13,play#v#33,01702219-v,01069167-v,,emit recorded sound,,employ in a game or in a specific position,not-merged,play#v#13-play#v#33
v,play%2:36:11::,play.v.13,play.v.09,play%2:38:00::,play#v#13,play#v#09,01702219-v,01885549-v,,emit recorded sound,,"move or seem to move quickly, lightly, or irregularly",not-merged,play#v#13-play#v#09
v,play%2:36:11::,play.v.13,play.v.22,play%2:42:00::,play#v#13,play#v#22,01702219-v,02698122-v,,emit recorded sound,,be received or accepted or interpreted in a specific way,not-merged,play#v#13-play#v#22
v,play%2:36:11::,play.v.13,play.v.28,play%2:35:07::,play#v#13,play#v#28,01702219-v,01365050-v,,emit recorded sound,,discharge or direct or be discharged or directed as if in a continuous stream,not-merged,play#v#13-play#v#28
v,play%2:36:11::,play.v.13,play.v.35,play%2:29:04::,play#v#13,play#v#35,01702219-v,00075144-v,,emit recorded sound,,exhaust by allowing to pull on the line,not-merged,play#v#13-play#v#35
v,play%2:33:09::,play.v.31,play.v.15,play%2:33:03::,play#v#31,play#v#15,01069974-v,01138514-v,,shoot or hit in a particular manner,,"put (a card or piece) into play during a game, or act strategically as if in a card game",merged,play#v#31-play#v#15
v,play%2:33:09::,play.v.31,play.v.09,play%2:38:00::,play#v#31,play#v#09,01069974-v,01885549-v,,shoot or hit in a particular manner,,"move or seem to move quickly, lightly, or irregularly",not-merged,play#v#31-play#v#09
v,play%2:33:09::,play.v.31,play.v.22,play%2:42:00::,play#v#31,play#v#22,01069974-v,02698122-v,,shoot or hit in a particular manner,,be received or accepted or interpreted in a specific way,not-merged,play#v#31-play#v#22
v,play%2:33:09::,play.v.31,play.v.28,play%2:35:07::,play#v#31,play#v#28,01069974-v,01365050-v,,shoot or hit in a particular manner,,discharge or direct or be discharged or directed as if in a continuous stream,not-merged,play#v#31-play#v#28
v,play%2:33:09::,play.v.31,play.v.35,play%2:29:04::,play#v#31,play#v#35,01069974-v,00075144-v,,shoot or hit in a particular manner,,exhaust by allowing to pull on the line,not-merged,play#v#31-play#v#35
